JUDET, Numar total someri , Numar someri femei  , Numar someri barbati  , Nr. total som. indemnizati , Nr. total som. neindemnizati ,Rata somajului (%),Rata somajului Feminin (%),Rata somajului Masculin(%)
ALBA ,5657,2535,3122,1825,3832,3.36,3.31,3.4
ARAD,2901,1446,1455,849,2052,1.36,1.54,1.22
ARGES,8357,3725,4632,1864,6493,3.21,3.09,3.33
BACAU,12638,5107,7531,1949,10689,5.97,5.6,6.25
BIHOR,4074,2061,2013,1519,2555,1.53,1.69,1.39
BISTRITA NASAUD,3996,2049,1947,1909,2087,3.04,3.58,2.63
BOTOSANI,4206,1696,2510,1017,3189,3.08,2.65,3.46
BRAILA,4903,1975,2928,807,4096,3.9,3.5,4.23
BRASOV,5729,2599,3130,952,4777,2.19,2.36,2.07
BUZAU,12474,4943,7531,1531,10943,7.21,6.25,8.01
CALARASI,3799,1741,2058,629,3170,4.17,4.09,4.25
CARAS-SEVERIN,3537,1570,1967,1352,2185,3.23,3.22,3.25
CLUJ,4720,2391,2329,1347,3373,1.29,1.49,1.13
CONSTANTA,8001,4909,3092,3837,4164,2.73,3.91,1.84
COVASNA,3104,1356,1748,483,2621,3.61,3.42,3.78
DAMBOVITA,8023,3795,4228,1120,6903,4.19,4.74,3.79
DOLJ,19728,8036,11692,2528,17200,7.42,6.79,7.93
GALATI,11979,5113,6866,1591,10388,6.23,5.95,6.46
GIURGIU,1863,1042,821,445,1418,2.27,2.79,1.84
GORJ,5914,2671,3243,2030,3884,4.35,4.17,4.52
HARGHITA,5705,2491,3214,1635,4070,4.23,4.32,4.16
HUNEDOARA,5830,3081,2749,2782,3048,3.3,3.73,2.93
IALOMITA,5268,2184,3084,1232,4036,5.57,5.07,5.99
IASI,8982,3903,5079,996,7986,3.05,2.95,3.13
ILFOV,1299,704,595,320,979,0.68,0.85,0.54
MARAMURES,6418,3179,3239,1348,5070,3.23,3.53,2.98
MEHEDINTI,7996,3406,4590,1337,6659,7.67,7.17,8.1
MUN. BUC.,15710,8477,7233,1998,13712,1.31,1.44,1.19
MURES,7126,2866,4260,1158,5968,3.03,2.83,3.19
NEAMT,8267,3443,4824,1790,6477,4.58,4.26,4.84
OLT,10138,4178,5960,1547,8591,6.27,5.66,6.77
PRAHOVA,7727,3826,3901,2580,5147,2.63,3.03,2.33
SALAJ,4602,1847,2755,919,3683,4.48,4,4.87
SATU M.,3842,1657,2185,573,3269,2.6,2.45,2.73
SIBIU,3539,1596,1943,1016,2523,1.79,1.82,1.77
SUCEAVA,11867,5161,6706,3382,8485,5.17,5,5.31
TELEORMAN,11201,4549,6652,1604,9597,7.6,6.38,8.75
TIMIS,2742,1484,1258,1363,1379,0.78,0.95,0.65
TULCEA,3048,1306,1742,978,2070,3.61,3.31,3.87
VALCEA,4892,2353,2539,1738,3154,3.06,3.38,2.81
VASLUI,11570,4493,7077,1223,10347,8.41,6.88,9.79
VRANCEA,5524,2301,3223,901,4623,4.02,3.57,4.42
Total ,288896,129245,159651,62004,226892,3.31,3.27,3.35
