JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5657,2535,3122,2062,1044,1018,3595,1491,2104
ARAD,2901,1446,1455,993,540,453,1908,906,1002
ARGES,8357,3725,4632,1237,663,574,7120,3062,4058
BACAU,12638,5107,7531,2713,1204,1509,9925,3903,6022
BIHOR,4074,2061,2013,1096,641,455,2978,1420,1558
BISTRITA-NASAUD,3996,2049,1947,1242,767,475,2754,1282,1472
BOTOSANI,4206,1696,2510,1351,596,755,2855,1100,1755
BRASOV,5729,2599,3130,1561,831,730,4168,1768,2400
BRAILA,4903,1975,2928,1234,568,666,3669,1407,2262
BUCURESTI,15710,8477,7233,15710,8477,7233,,,
BUZAU,12474,4943,7531,2116,1012,1104,10358,3931,6427
CARAS-SEVERIN,3537,1570,1967,1433,659,774,2104,911,1193
CALARASI,3799,1741,2058,838,401,437,2961,1340,1621
CLUJ,4720,2391,2329,2027,1233,794,2693,1158,1535
CONSTANTA,8001,4909,3092,4110,2865,1245,3891,2044,1847
COVASNA,3104,1356,1748,825,375,450,2279,981,1298
DAMBOVITA,8023,3795,4228,1257,669,588,6766,3126,3640
DOLJ,19728,8036,11692,2943,1510,1433,16785,6526,10259
GALATI,11979,5113,6866,2107,1172,935,9872,3941,5931
GIURGIU,1863,1042,821,534,339,195,1329,703,626
GORJ,5914,2671,3243,1842,978,864,4072,1693,2379
HARGHITA,5705,2491,3214,1767,864,903,3938,1627,2311
HUNEDOARA,5830,3081,2749,3959,2127,1832,1871,954,917
IALOMITA,5268,2184,3084,1491,663,828,3777,1521,2256
IASI,8982,3903,5079,1456,725,731,7526,3178,4348
ILFOV,1299,704,595,239,150,89,1060,554,506
MARAMURES,6418,3179,3239,3252,1713,1539,3166,1466,1700
MEHEDINTI,7996,3406,4590,1471,761,710,6525,2645,3880
MURES,7126,2866,4260,1221,632,589,5905,2234,3671
NEAMT,8267,3443,4824,1364,693,671,6903,2750,4153
OLT,10138,4178,5960,2089,1047,1042,8049,3131,4918
PRAHOVA,7727,3826,3901,2407,1324,1083,5320,2502,2818
SATU-MARE,3842,1657,2185,774,376,398,3068,1281,1787
SALAJ,4602,1847,2755,873,438,435,3729,1409,2320
SIBIU,3539,1596,1943,1140,555,585,2399,1041,1358
SUCEAVA,11867,5161,6706,3221,1584,1637,8646,3577,5069
TELEORMAN,11201,4549,6652,2456,1163,1293,8745,3386,5359
TIMIS,2742,1484,1258,1281,766,515,1461,718,743
TULCEA,3048,1306,1742,761,426,335,2287,880,1407
VASLUI,11570,4493,7077,1409,649,760,10161,3844,6317
VALCEA,4892,2353,2539,1633,859,774,3259,1494,1765
VRANCEA,5524,2301,3223,1112,521,591,4412,1780,2632
Total TARA ,288896,129245,159651,84607,44580,40027,204289,84665,119624
