JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5656,2574,3082,2035,1033,1002,3621,1541,2080
ARAD,2929,1475,1454,964,540,424,1965,935,1030
ARGES,8352,3784,4568,1253,716,537,7099,3068,4031
BACAU,12774,5150,7624,2760,1213,1547,10014,3937,6077
BIHOR,4367,2188,2179,1219,709,510,3148,1479,1669
BISTRITA-NASAUD,3657,1924,1733,1080,660,420,2577,1264,1313
BOTOSANI,4090,1824,2266,1339,657,682,2751,1167,1584
BRASOV,5983,2702,3281,1668,891,777,4315,1811,2504
BRAILA,4973,2020,2953,1256,578,678,3717,1442,2275
BUCURESTI,16175,8622,7553,16175,8622,7553,,,
BUZAU,12138,4935,7203,2140,1061,1079,9998,3874,6124
CARAS-SEVERIN,3573,1617,1956,1486,717,769,2087,900,1187
CALARASI,3867,1856,2011,891,467,424,2976,1389,1587
CLUJ,4838,2456,2382,2122,1281,841,2716,1175,1541
CONSTANTA,6758,3969,2789,3527,2343,1184,3231,1626,1605
COVASNA,2999,1382,1617,907,432,475,2092,950,1142
DAMBOVITA,8857,4155,4702,1379,725,654,7478,3430,4048
DOLJ,19753,8159,11594,2926,1517,1409,16827,6642,10185
GALATI,12799,5683,7116,2689,1527,1162,10110,4156,5954
GIURGIU,2107,1123,984,544,327,217,1563,796,767
GORJ,5949,2718,3231,1877,1003,874,4072,1715,2357
HARGHITA,5622,2519,3103,1730,876,854,3892,1643,2249
HUNEDOARA,6268,3278,2990,4285,2328,1957,1983,950,1033
IALOMITA,4988,2183,2805,1399,661,738,3589,1522,2067
IASI,9468,4152,5316,1576,795,781,7892,3357,4535
ILFOV,1320,705,615,250,156,94,1070,549,521
MARAMURES,6483,3189,3294,3253,1716,1537,3230,1473,1757
MEHEDINTI,8150,3423,4727,1563,799,764,6587,2624,3963
MURES,7033,2798,4235,1216,639,577,5817,2159,3658
NEAMT,9043,3805,5238,1481,743,738,7562,3062,4500
OLT,9443,3878,5565,1964,966,998,7479,2912,4567
PRAHOVA,7944,3921,4023,2580,1412,1168,5364,2509,2855
SATU-MARE,3857,1681,2176,737,363,374,3120,1318,1802
SALAJ,4515,1813,2702,858,432,426,3657,1381,2276
SIBIU,3569,1656,1913,1142,565,577,2427,1091,1336
SUCEAVA,10770,4912,5858,3038,1568,1470,7732,3344,4388
TELEORMAN,11894,4646,7248,2608,1196,1412,9286,3450,5836
TIMIS,2862,1558,1304,1437,824,613,1425,734,691
TULCEA,2631,1211,1420,739,413,326,1892,798,1094
VASLUI,11209,4492,6717,1364,701,663,9845,3791,6054
VALCEA,4655,2380,2275,1684,923,761,2971,1457,1514
VRANCEA,5861,2481,3380,1209,578,631,4652,1903,2749
Total TARA ,290179,130997,159182,86350,45673,40677,203829,85324,118505
