JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5618,2559,3059,2010,1021,989,3608,1538,2070
ARAD,2912,1420,1492,1006,541,465,1906,879,1027
ARGES,8713,3927,4786,1241,729,512,7472,3198,4274
BACAU,12800,5123,7677,2770,1198,1572,10030,3925,6105
BIHOR,4213,2125,2088,1296,759,537,2917,1366,1551
BISTRITA-NASAUD,3712,1912,1800,1090,627,463,2622,1285,1337
BOTOSANI,4088,1806,2282,1308,639,669,2780,1167,1613
BRASOV,6068,2700,3368,1673,888,785,4395,1812,2583
BRAILA,5128,2074,3054,1207,577,630,3921,1497,2424
BUCURESTI,17106,8913,8193,17106,8913,8193,,,
BUZAU,12312,4984,7328,2189,1074,1115,10123,3910,6213
CARAS-SEVERIN,3755,1676,2079,1572,753,819,2183,923,1260
CALARASI,3923,1897,2026,922,492,430,3001,1405,1596
CLUJ,4994,2500,2494,2196,1294,902,2798,1206,1592
CONSTANTA,5633,2953,2680,2815,1669,1146,2818,1284,1534
COVASNA,2965,1315,1650,916,440,476,2049,875,1174
DAMBOVITA,9074,4222,4852,1417,741,676,7657,3481,4176
DOLJ,19924,8194,11730,2923,1487,1436,17001,6707,10294
GALATI,13523,5927,7596,2567,1456,1111,10956,4471,6485
GIURGIU,2398,1217,1181,537,321,216,1861,896,965
GORJ,5892,2668,3224,1864,981,883,4028,1687,2341
HARGHITA,5659,2522,3137,1741,872,869,3918,1650,2268
HUNEDOARA,6587,3356,3231,4581,2408,2173,2006,948,1058
IALOMITA,5208,2260,2948,1435,667,768,3773,1593,2180
IASI,9632,4156,5476,1572,779,793,8060,3377,4683
ILFOV,1126,617,509,224,146,78,902,471,431
MARAMURES,6430,3105,3325,3200,1637,1563,3230,1468,1762
MEHEDINTI,8691,3599,5092,1699,817,882,6992,2782,4210
MURES,7060,2731,4329,1166,615,551,5894,2116,3778
NEAMT,9175,3876,5299,1541,786,755,7634,3090,4544
OLT,10252,4156,6096,2032,985,1047,8220,3171,5049
PRAHOVA,7937,3874,4063,2581,1371,1210,5356,2503,2853
SATU-MARE,3840,1678,2162,740,358,382,3100,1320,1780
SALAJ,4545,1837,2708,837,430,407,3708,1407,2301
SIBIU,3521,1625,1896,1103,562,541,2418,1063,1355
SUCEAVA,12082,5404,6678,3219,1621,1598,8863,3783,5080
TELEORMAN,12268,4952,7316,2689,1274,1415,9579,3678,5901
TIMIS,2798,1525,1273,1439,852,587,1359,673,686
TULCEA,2521,1145,1376,749,389,360,1772,756,1016
VASLUI,11651,4576,7075,1377,689,688,10274,3887,6387
VALCEA,5061,2492,2569,1872,989,883,3189,1503,1686
VRANCEA,5956,2564,3392,1238,615,623,4718,1949,2769
Total TARA ,296751,132162,164589,87660,45462,42198,209091,86700,122391
