JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4877,2147,2730,1750,878,872,3127,1269,1858,
 ARAD,2563,1270,1293,843,447,396,1720,823,897,
 ARGES,7357,3401,3956,1157,645,512,6200,2756,3444,
 BACAU,11434,4570,6864,2720,1162,1558,8714,3408,5306,
 BIHOR,3095,1589,1506,1054,619,435,2041,970,1071,
 BISTRITA-NASAUD,3450,1742,1708,1232,750,482,2218,992,1226,
 BOTOSANI,3813,1608,2205,1270,570,700,2543,1038,1505,
 BRAILA,4754,1881,2873,1151,531,620,3603,1350,2253,
 BRASOV,5471,2454,3017,1557,825,732,3914,1629,2285,
 BUZAU,11615,4595,7020,1886,944,942,9729,3651,6078,
 CALARASI,3455,1634,1821,711,346,365,2744,1288,1456,
 CARAS-SEVERIN,3200,1399,1801,1327,592,735,1873,807,1066,
 CLUJ,4556,2286,2270,1938,1147,791,2618,1139,1479,
 CONSTANTA,6195,3491,2704,3113,1978,1135,3082,1513,1569,
 COVASNA,2678,1185,1493,707,360,347,1971,825,1146,
 DAMBOVITA,6679,3170,3509,1072,577,495,5607,2593,3014,
 DOLJ,18905,7713,11192,2693,1413,1280,16212,6300,9912,
 GALATI,10676,4527,6149,1747,951,796,8929,3576,5353,
 GIURGIU,1794,1019,775,524,349,175,1270,670,600,
 GORJ,5117,2341,2776,1567,847,720,3550,1494,2056,
 HARGHITA,4997,2185,2812,1476,747,729,3521,1438,2083,
 HUNEDOARA,5798,2953,2845,3893,2018,1875,1905,935,970,
 IALOMITA,4736,2072,2664,1499,729,770,3237,1343,1894,
 IASI,8657,3810,4847,1264,661,603,7393,3149,4244,
 ILFOV,897,485,412,171,106,65,726,379,347,
 MARAMURES,6161,2978,3183,3051,1497,1554,3110,1481,1629,
 MEHEDINTI,7154,2920,4234,1209,543,666,5945,2377,3568,
 MURES,6184,2676,3508,1088,572,516,5096,2104,2992,
 NEAMT,7308,3095,4213,1167,589,578,6141,2506,3635,
 OLT,8802,3681,5121,1799,924,875,7003,2757,4246,
 PRAHOVA,6605,3167,3438,2128,1144,984,4477,2023,2454,
 SALAJ,4292,1783,2509,827,447,380,3465,1336,2129,
 SATU MARE,3597,1588,2009,689,352,337,2908,1236,1672,
 SIBIU,3423,1578,1845,1090,541,549,2333,1037,1296,
 SUCEAVA,10635,4529,6106,2779,1381,1398,7856,3148,4708,
 TELEORMAN,10145,4191,5954,2141,1084,1057,8004,3107,4897,
 TIMIS,2421,1260,1161,1138,624,514,1283,636,647,
 TULCEA,2667,1264,1403,707,405,302,1960,859,1101,
 VALCEA,4595,2169,2426,1569,827,742,3026,1342,1684,
 VASLUI,10480,4090,6390,1190,553,637,9290,3537,5753,
 VRANCEA,5096,2160,2936,983,471,512,4113,1689,2424,
BUCURESTI,15575,8346,7229,15575,8346,7229,0,0,0,
Total TARA ,261909,117002,144907,77452,40492,36960,184457,76510,107947,
