JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5218,2400,2818,1935,993,942,3283,1407,1876,
 ARAD,2610,1340,1270,1041,545,496,1569,795,774,
 ARGES,7749,3609,4140,1357,753,604,6392,2856,3536,
 BACAU,11023,4496,6527,2428,911,1517,8595,3585,5010,
 BIHOR,3690,2058,1632,1233,742,491,2457,1316,1141,
 BISTRITA-NASAUD,3329,1700,1629,1043,609,434,2286,1091,1195,
 BOTOSANI,3571,1538,2033,1229,587,642,2342,951,1391,
 BRAILA,4334,1748,2586,1096,528,568,3238,1220,2018,
 BRASOV,5233,2328,2905,1473,783,690,3760,1545,2215,
 BUZAU,11296,4634,6662,2065,1047,1018,9231,3587,5644,
 CALARASI,3242,1551,1691,740,366,374,2502,1185,1317,
 CARAS-SEVERIN,3345,1512,1833,1413,650,763,1932,862,1070,
 CLUJ,4483,2392,2091,1946,1213,733,2537,1179,1358,
 CONSTANTA,7471,4697,2774,3795,2677,1118,3676,2020,1656,
 COVASNA,2852,1291,1561,838,420,418,2014,871,1143,
 DAMBOVITA,6624,3215,3409,1118,603,515,5506,2612,2894,
 DOLJ,17945,7524,10421,2707,1420,1287,15238,6104,9134,
 GALATI,10578,4524,6054,1919,1023,896,8659,3501,5158,
 GIURGIU,1645,870,775,387,221,166,1258,649,609,
 GORJ,4735,2244,2491,1432,772,660,3303,1472,1831,
 HARGHITA,5146,2311,2835,1547,790,757,3599,1521,2078,
 HUNEDOARA,5157,2714,2443,3374,1859,1515,1783,855,928,
 IALOMITA,4231,1857,2374,1232,604,628,2999,1253,1746,
 IASI,8035,3632,4403,1245,663,582,6790,2969,3821,
 ILFOV,776,444,332,228,139,89,548,305,243,
 MARAMURES,5185,2555,2630,2531,1325,1206,2654,1230,1424,
 MEHEDINTI,6929,2981,3948,1554,776,778,5375,2205,3170,
 MURES,6372,2832,3540,1219,653,566,5153,2179,2974,
 NEAMT,7346,3135,4211,1237,603,634,6109,2532,3577,
 OLT,8855,3854,5001,2005,1063,942,6850,2791,4059,
 PRAHOVA,7118,3521,3597,2471,1358,1113,4647,2163,2484,
 SALAJ,4339,1862,2477,906,497,409,3433,1365,2068,
 SATU MARE,3631,1599,2032,702,358,344,2929,1241,1688,
 SIBIU,3456,1594,1862,1135,573,562,2321,1021,1300,
 SUCEAVA,11031,4931,6100,2995,1507,1488,8036,3424,4612,
 TELEORMAN,8825,3722,5103,2201,1085,1116,6624,2637,3987,
 TIMIS,2775,1503,1272,1311,745,566,1464,758,706,
 TULCEA,2906,1397,1509,768,434,334,2138,963,1175,
 VALCEA,4560,2229,2331,1512,817,695,3048,1412,1636,
 VASLUI,10024,4058,5966,1280,643,637,8744,3415,5329,
 VRANCEA,4947,2104,2843,1011,502,509,3936,1602,2334,
BUCURESTI,15248,8120,7128,15248,8120,7128,0,0,0,
Total TARA ,257865,118626,139239,78907,41977,36930,178958,76649,102309,
