JUDET,Numar total someri,Numar total someri femei ,Numar total someri barbati ,Numar  someri indemnizati ,Numar someri neindemnizati,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,5486,2422,3064,1745,3741, 3.26     , 3.17     , 3.34     
ARAD,3022,1505,1517,901,2121, 1.42     , 1.60     , 1.27     
ARGES,8509,3799,4710,2037,6472, 3.27     , 3.15     , 3.38     
BACAU,12506,5009,7497,2033,10473, 5.91     , 5.49     , 6.22     
BIHOR,3589,1848,1741,1464,2125, 1.34     , 1.51     , 1.20     
BISTRITA NASAUD,4097,2094,2003,1916,2181, 3.12     , 3.65     , 2.71     
BOTOSANI,4402,1748,2654,1098,3304, 3.22     , 2.73     , 3.66     
BRAILA,5151,2017,3134,879,4272, 4.10     , 3.58     , 4.53     
BRASOV,5948,2712,3236,1016,4932, 2.27     , 2.46     , 2.14     
BUZAU,12414,4859,7555,1496,10918, 7.17     , 6.14     , 8.04     
CALARASI,3894,1771,2123,620,3274, 4.28     , 4.16     , 4.39     
CARAS-SEVERIN,3540,1563,1977,1336,2204, 3.24     , 3.20     , 3.26     
CLUJ,4855,2441,2414,1413,3442, 1.33     , 1.52     , 1.17     
CONSTANTA,8121,4963,3158,3872,4249, 2.77     , 3.95     , 1.88     
COVASNA,3150,1405,1745,519,2631, 3.66     , 3.54     , 3.77     
DAMBOVITA,7329,3452,3877,982,6347, 3.83     , 4.32     , 3.48     
DOLJ,20097,8127,11970,2581,17516, 7.56     , 6.86     , 8.12     
GALATI,11698,4948,6750,1599,10099, 6.09     , 5.76     , 6.35     
GIURGIU,1964,1093,871,421,1543, 2.40     , 2.92     , 1.95     
GORJ,5900,2639,3261,2066,3834, 4.34     , 4.12     , 4.54     
HARGHITA,5709,2442,3267,1624,4085, 4.23     , 4.23     , 4.23     
HUNEDOARA,6423,3212,3211,3243,3180, 3.64     , 3.89     , 3.42     
IALOMITA,5248,2148,3100,1287,3961, 5.55     , 4.98     , 6.02     
IASI,8961,3872,5089,1114,7847, 3.04     , 2.92     , 3.14     
ILFOV,1196,639,557,322,874, 0.62     , 0.78     , 0.51     
MARAMURES,6377,3087,3290,1352,5025, 3.21     , 3.43     , 3.02     
MEHEDINTI,7770,3183,4587,1383,6387, 7.46     , 6.70     , 8.09     
MUN. BUC.,15679,8346,7333,1975,13704, 1.31     , 1.42     , 1.21     
MURES,6988,2801,4187,1156,5832, 2.98     , 2.77     , 3.13     
NEAMT,8450,3445,5005,1847,6603, 4.68     , 4.26     , 5.03     
OLT,10105,4140,5965,1617,8488, 6.25     , 5.61     , 6.78     
PRAHOVA,7465,3599,3866,2554,4911, 2.54     , 2.85     , 2.31     
SALAJ,4740,1880,2860,927,3813, 4.61     , 4.07     , 5.05     
SATU M.,3905,1660,2245,627,3278, 2.64     , 2.45     , 2.81     
SIBIU,3598,1608,1990,1062,2536, 1.82     , 1.84     , 1.81     
SUCEAVA,11979,5031,6948,3550,8429, 5.22     , 4.88     , 5.50     
TELEORMAN,10899,4329,6570,1554,9345, 7.40     , 6.07     , 8.64     
TIMIS,2867,1491,1376,1355,1512, 0.82     , 0.95     , 0.71     
TULCEA,3234,1400,1834,1024,2210, 3.83     , 3.54     , 4.08     
VALCEA,5029,2383,2646,1791,3238, 3.14     , 3.42     , 2.92     
VASLUI,11653,4484,7169,1248,10405, 8.47     , 6.87     , 9.92     
VRANCEA,5635,2306,3329,879,4756, 4.10     , 3.58     , 4.57     
Total ,289582,127901,161681,63485,226097, 3.32     , 3.24     , 3.39     
