JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5486,2422,3064,2003,1004,999,3483,1418,2065,
 ARAD,3022,1505,1517,1044,557,487,1978,948,1030,
 ARGES,8509,3799,4710,1344,742,602,7165,3057,4108,
 BACAU,12506,5009,7497,2804,1314,1490,9702,3695,6007,
 BIHOR,3589,1848,1741,1077,625,452,2512,1223,1289,
 BISTRITA-NASAUD,4097,2094,2003,1343,837,506,2754,1257,1497,
 BOTOSANI,4402,1748,2654,1435,622,813,2967,1126,1841,
 BRAILA,5151,2017,3134,1274,565,709,3877,1452,2425,
 BRASOV,5948,2712,3236,1669,887,782,4279,1825,2454,
 BUZAU,12414,4859,7555,2073,975,1098,10341,3884,6457,
 CALARASI,3894,1771,2123,841,394,447,3053,1377,1676,
 CARAS-SEVERIN,3540,1563,1977,1440,658,782,2100,905,1195,
 CLUJ,4855,2441,2414,2128,1280,848,2727,1161,1566,
 CONSTANTA,8121,4963,3158,4196,2929,1267,3925,2034,1891,
 COVASNA,3150,1405,1745,816,385,431,2334,1020,1314,
 DAMBOVITA,7329,3452,3877,1154,606,548,6175,2846,3329,
 DOLJ,20097,8127,11970,2978,1522,1456,17119,6605,10514,
 GALATI,11698,4948,6750,2010,1120,890,9688,3828,5860,
 GIURGIU,1964,1093,871,572,362,210,1392,731,661,
 GORJ,5900,2639,3261,1808,959,849,4092,1680,2412,
 HARGHITA,5709,2442,3267,1763,860,903,3946,1582,2364,
 HUNEDOARA,6423,3212,3211,4374,2190,2184,2049,1022,1027,
 IALOMITA,5248,2148,3100,1536,691,845,3712,1457,2255,
 IASI,8961,3872,5089,1488,750,738,7473,3122,4351,
 ILFOV,1196,639,557,221,130,91,975,509,466,
 MARAMURES,6377,3087,3290,3230,1653,1577,3147,1434,1713,
 MEHEDINTI,7770,3183,4587,1425,705,720,6345,2478,3867,
 MURES,6988,2801,4187,1153,582,571,5835,2219,3616,
 NEAMT,8450,3445,5005,1453,706,747,6997,2739,4258,
 OLT,10105,4140,5965,2034,1011,1023,8071,3129,4942,
 PRAHOVA,7465,3599,3866,2319,1247,1072,5146,2352,2794,
 SALAJ,4740,1880,2860,909,458,451,3831,1422,2409,
 SATU MARE,3905,1660,2245,781,379,402,3124,1281,1843,
 SIBIU,3598,1608,1990,1157,556,601,2441,1052,1389,
 SUCEAVA,11979,5031,6948,3200,1514,1686,8779,3517,5262,
 TELEORMAN,10899,4329,6570,2402,1138,1264,8497,3191,5306,
 TIMIS,2867,1491,1376,1392,756,636,1475,735,740,
 TULCEA,3234,1400,1834,818,466,352,2416,934,1482,
 VALCEA,5029,2383,2646,1729,910,819,3300,1473,1827,
 VASLUI,11653,4484,7169,1405,628,777,10248,3856,6392,
 VRANCEA,5635,2306,3329,1139,520,619,4496,1786,2710,
BUCURESTI,15679,8346,7333,15679,8346,7333,0,0,0,
Total TARA ,289582,127901,161681,85616,44539,41077,203966,83362,120604,
