JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4746,2146,2600,1659,860,799,3087,1286,1801,
 ARAD,3112,1606,1506,1322,716,606,1790,890,900,
 ARGES,7623,3620,4003,1281,720,561,6342,2900,3442,
 BACAU,10925,4449,6476,2392,962,1430,8533,3487,5046,
 BIHOR,3456,1794,1662,1188,686,502,2268,1108,1160,
 BISTRITA-NASAUD,3180,1652,1528,1001,581,420,2179,1071,1108,
 BOTOSANI,3893,1779,2114,1376,667,709,2517,1112,1405,
 BRAILA,4537,1836,2701,1195,534,661,3342,1302,2040,
 BRASOV,5765,2652,3113,1829,976,853,3936,1676,2260,
 BUZAU,11640,4825,6815,2112,1083,1029,9528,3742,5786,
 CALARASI,3338,1626,1712,762,395,367,2576,1231,1345,
 CARAS-SEVERIN,3266,1494,1772,1311,613,698,1955,881,1074,
 CLUJ,4649,2422,2227,2069,1251,818,2580,1171,1409,
 CONSTANTA,5552,2879,2673,2668,1530,1138,2884,1349,1535,
 COVASNA,2738,1284,1454,871,459,412,1867,825,1042,
 DAMBOVITA,6810,3252,3558,1101,590,511,5709,2662,3047,
 DOLJ,18238,7585,10653,2626,1387,1239,15612,6198,9414,
 GALATI,11127,4904,6223,2109,1185,924,9018,3719,5299,
 GIURGIU,1855,1049,806,523,314,209,1332,735,597,
 GORJ,4778,2293,2485,1477,815,662,3301,1478,1823,
 HARGHITA,5051,2281,2770,1534,787,747,3517,1494,2023,
 HUNEDOARA,5787,2985,2802,3879,2048,1831,1908,937,971,
 IALOMITA,4506,2093,2413,1396,706,690,3110,1387,1723,
 IASI,8387,3756,4631,1307,697,610,7080,3059,4021,
 ILFOV,874,481,393,212,119,93,662,362,300,
 MARAMURES,6440,3275,3165,3258,1730,1528,3182,1545,1637,
 MEHEDINTI,6532,2709,3823,1395,669,726,5137,2040,3097,
 MURES,5917,2648,3269,1131,619,512,4786,2029,2757,
 NEAMT,7779,3455,4324,1350,698,652,6429,2757,3672,
 OLT,8746,3752,4994,1796,922,874,6950,2830,4120,
 PRAHOVA,6424,3167,3257,2107,1148,959,4317,2019,2298,
 SALAJ,4449,1907,2542,964,523,441,3485,1384,2101,
 SATU MARE,3357,1518,1839,643,334,309,2714,1184,1530,
 SIBIU,3246,1565,1681,1077,551,526,2169,1014,1155,
 SUCEAVA,11596,5198,6398,3234,1638,1596,8362,3560,4802,
 TELEORMAN,9770,4111,5659,2209,1081,1128,7561,3030,4531,
 TIMIS,2944,1635,1309,1436,829,607,1508,806,702,
 TULCEA,2534,1281,1253,649,381,268,1885,900,985,
 VALCEA,5167,2486,2681,1896,984,912,3271,1502,1769,
 VASLUI,10460,4221,6239,1188,592,596,9272,3629,5643,
 VRANCEA,5348,2386,2962,1090,557,533,4258,1829,2429,
BUCURESTI,15502,8306,7196,15502,8306,7196,0,0,0,
Total TARA ,262044,120363,141681,80125,42243,37882,181919,78120,103799,
