JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4671,2096,2575,1623,839,784,3048,1257,1791,
 ARAD,2882,1458,1424,1162,628,534,1720,830,890,
 ARGES,7414,3517,3897,1179,673,506,6235,2844,3391,
 BACAU,10802,4301,6501,2359,961,1398,8443,3340,5103,
 BIHOR,3348,1745,1603,1065,619,446,2283,1126,1157,
 BISTRITA-NASAUD,3273,1665,1608,1118,659,459,2155,1006,1149,
 BOTOSANI,3604,1617,1987,1240,603,637,2364,1014,1350,
 BRAILA,4503,1792,2711,1150,515,635,3353,1277,2076,
 BRASOV,5777,2657,3120,1822,974,848,3955,1683,2272,
 BUZAU,11430,4678,6752,1959,1009,950,9471,3669,5802,
 CALARASI,3270,1576,1694,690,353,337,2580,1223,1357,
 CARAS-SEVERIN,3130,1406,1724,1231,572,659,1899,834,1065,
 CLUJ,4509,2301,2208,1983,1175,808,2526,1126,1400,
 CONSTANTA,5656,2906,2750,2736,1558,1178,2920,1348,1572,
 COVASNA,2611,1170,1441,739,383,356,1872,787,1085,
 DAMBOVITA,6613,3134,3479,1083,577,506,5530,2557,2973,
 DOLJ,18278,7593,10685,2602,1427,1175,15676,6166,9510,
 GALATI,10823,4707,6116,1872,1047,825,8951,3660,5291,
 GIURGIU,1783,1023,760,485,310,175,1298,713,585,
 GORJ,4693,2235,2458,1374,752,622,3319,1483,1836,
 HARGHITA,4910,2182,2728,1457,750,707,3453,1432,2021,
 HUNEDOARA,5614,2886,2728,3728,1958,1770,1886,928,958,
 IALOMITA,4570,2064,2506,1412,697,715,3158,1367,1791,
 IASI,8545,3759,4786,1358,698,660,7187,3061,4126,
 ILFOV,913,479,434,189,102,87,724,377,347,
 MARAMURES,6394,3240,3154,3210,1665,1545,3184,1575,1609,
 MEHEDINTI,7013,2790,4223,1490,684,806,5523,2106,3417,
 MURES,6043,2658,3385,1073,572,501,4970,2086,2884,
 NEAMT,7274,3172,4102,1247,641,606,6027,2531,3496,
 OLT,8691,3739,4952,1771,930,841,6920,2809,4111,
 PRAHOVA,6444,3104,3340,2030,1097,933,4414,2007,2407,
 SALAJ,4119,1754,2365,852,470,382,3267,1284,1983,
 SATU MARE,3364,1505,1859,628,329,299,2736,1176,1560,
 SIBIU,3283,1542,1741,1074,534,540,2209,1008,1201,
 SUCEAVA,10657,4630,6027,2851,1424,1427,7806,3206,4600,
 TELEORMAN,9570,3992,5578,2116,1057,1059,7454,2935,4519,
 TIMIS,2920,1600,1320,1377,773,604,1543,827,716,
 TULCEA,2430,1189,1241,602,353,249,1828,836,992,
 VALCEA,4838,2358,2480,1761,933,828,3077,1425,1652,
 VASLUI,10151,4085,6066,1117,560,557,9034,3525,5509,
 VRANCEA,5245,2280,2965,1009,496,513,4236,1784,2452,
BUCURESTI,15525,8294,7231,15525,8294,7231,0,0,0,
Total TARA ,257583,116879,140704,77349,40651,36698,180234,76228,104006,
