JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5194,2417,2777,1913,996,917,3281,1421,1860,
 ARAD,3211,1693,1518,1416,773,643,1795,920,875,
 ARGES,7731,3586,4145,1381,750,631,6350,2836,3514,
 BACAU,10743,4434,6309,2383,907,1476,8360,3527,4833,
 BIHOR,3652,2001,1651,1256,745,511,2396,1256,1140,
 BISTRITA-NASAUD,3225,1717,1508,1042,614,428,2183,1103,1080,
 BOTOSANI,3521,1625,1896,1236,631,605,2285,994,1291,
 BRAILA,4286,1751,2535,1091,536,555,3195,1215,1980,
 BRASOV,5540,2547,2993,1721,954,767,3819,1593,2226,
 BUZAU,11343,4773,6570,2096,1087,1009,9247,3686,5561,
 CALARASI,3246,1580,1666,757,383,374,2489,1197,1292,
 CARAS-SEVERIN,3369,1539,1830,1431,659,772,1938,880,1058,
 CLUJ,4616,2478,2138,2113,1320,793,2503,1158,1345,
 CONSTANTA,7536,4671,2865,3828,2645,1183,3708,2026,1682,
 COVASNA,2819,1318,1501,887,454,433,1932,864,1068,
 DAMBOVITA,6678,3230,3448,1100,576,524,5578,2654,2924,
 DOLJ,17816,7501,10315,2677,1432,1245,15139,6069,9070,
 GALATI,10836,4731,6105,2114,1138,976,8722,3593,5129,
 GIURGIU,1683,911,772,439,257,182,1244,654,590,
 GORJ,4725,2272,2453,1429,784,645,3296,1488,1808,
 HARGHITA,5120,2322,2798,1562,817,745,3558,1505,2053,
 HUNEDOARA,5183,2771,2412,3465,1930,1535,1718,841,877,
 IALOMITA,4094,1867,2227,1213,600,613,2881,1267,1614,
 IASI,8242,3723,4519,1325,711,614,6917,3012,3905,
 ILFOV,817,464,353,234,138,96,583,326,257,
 MARAMURES,5611,2824,2787,2547,1337,1210,3064,1487,1577,
 MEHEDINTI,6917,2989,3928,1601,796,805,5316,2193,3123,
 MURES,6356,2867,3489,1221,674,547,5135,2193,2942,
 NEAMT,7282,3190,4092,1259,627,632,6023,2563,3460,
 OLT,8666,3712,4954,1873,951,922,6793,2761,4032,
 PRAHOVA,7185,3532,3653,2538,1380,1158,4647,2152,2495,
 SALAJ,4274,1871,2403,911,517,394,3363,1354,2009,
 SATU MARE,3478,1585,1893,677,358,319,2801,1227,1574,
 SIBIU,3422,1625,1797,1107,575,532,2315,1050,1265,
 SUCEAVA,11189,5236,5953,3068,1613,1455,8121,3623,4498,
 TELEORMAN,8988,3867,5121,2168,1078,1090,6820,2789,4031,
 TIMIS,2832,1555,1277,1333,767,566,1499,788,711,
 TULCEA,2815,1413,1402,774,451,323,2041,962,1079,
 VALCEA,4888,2417,2471,1731,924,807,3157,1493,1664,
 VASLUI,9868,4093,5775,1250,648,602,8618,3445,5173,
 VRANCEA,5091,2254,2837,1088,554,534,4003,1700,2303,
BUCURESTI,15300,8175,7125,15300,8175,7125,0,0,0,
Total TARA ,259388,121127,138261,80555,43262,37293,178833,77865,100968,
