JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4875,2280,2595,1764,950,814,3111,1330,1781,
 ARAD,3255,1700,1555,1436,770,666,1819,930,889,
 ARGES,7750,3642,4108,1343,742,601,6407,2900,3507,
 BACAU,10945,4510,6435,2498,950,1548,8447,3560,4887,
 BIHOR,3441,1822,1619,1141,664,477,2300,1158,1142,
 BISTRITA-NASAUD,3274,1759,1515,1060,621,439,2214,1138,1076,
 BOTOSANI,3726,1711,2015,1275,637,638,2451,1074,1377,
 BRAILA,4389,1794,2595,1147,539,608,3242,1255,1987,
 BRASOV,5730,2649,3081,1844,1001,843,3886,1648,2238,
 BUZAU,11691,4908,6783,2190,1138,1052,9501,3770,5731,
 CALARASI,3280,1575,1705,779,394,385,2501,1181,1320,
 CARAS-SEVERIN,3398,1556,1842,1422,658,764,1976,898,1078,
 CLUJ,4750,2510,2240,2132,1292,840,2618,1218,1400,
 CONSTANTA,5791,3123,2668,2808,1678,1130,2983,1445,1538,
 COVASNA,2828,1315,1513,876,451,425,1952,864,1088,
 DAMBOVITA,6372,3091,3281,1067,585,482,5305,2506,2799,
 DOLJ,18025,7538,10487,2746,1454,1292,15279,6084,9195,
 GALATI,11058,4866,6192,2134,1161,973,8924,3705,5219,
 GIURGIU,1734,956,778,502,293,209,1232,663,569,
 GORJ,4731,2296,2435,1415,789,626,3316,1507,1809,
 HARGHITA,4855,2243,2612,1590,836,754,3265,1407,1858,
 HUNEDOARA,5180,2750,2430,3531,1924,1607,1649,826,823,
 IALOMITA,4194,1947,2247,1250,624,626,2944,1323,1621,
 IASI,8877,3978,4899,1451,762,689,7426,3216,4210,
 ILFOV,849,456,393,227,122,105,622,334,288,
 MARAMURES,5753,2916,2837,2699,1436,1263,3054,1480,1574,
 MEHEDINTI,6961,2969,3992,1488,735,753,5473,2234,3239,
 MURES,6006,2769,3237,1216,683,533,4790,2086,2704,
 NEAMT,7577,3378,4199,1298,673,625,6279,2705,3574,
 OLT,8761,3820,4941,1870,979,891,6891,2841,4050,
 PRAHOVA,6949,3418,3531,2387,1279,1108,4562,2139,2423,
 SALAJ,4244,1863,2381,895,512,383,3349,1351,1998,
 SATU MARE,3378,1538,1840,677,349,328,2701,1189,1512,
 SIBIU,3229,1554,1675,1089,556,533,2140,998,1142,
 SUCEAVA,11403,5349,6054,3226,1693,1533,8177,3656,4521,
 TELEORMAN,9309,3952,5357,2136,1039,1097,7173,2913,4260,
 TIMIS,3189,1807,1382,1582,919,663,1607,888,719,
 TULCEA,2644,1332,1312,710,411,299,1934,921,1013,
 VALCEA,5277,2575,2702,1992,1022,970,3285,1553,1732,
 VASLUI,10309,4244,6065,1312,676,636,8997,3568,5429,
 VRANCEA,5230,2344,2886,1097,562,535,4133,1782,2351,
BUCURESTI,15418,8251,7167,15418,8251,7167,0,0,0,
Total TARA ,260635,121054,139581,80720,42810,37910,179915,78244,101671,
