JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4968,2356,2612,1946,1024,922,3022,1332,1690,
 ARAD,2478,1344,1134,1090,620,470,1388,724,664,
 ARGES,8079,4053,4026,1933,1178,755,6146,2875,3271,
 BACAU,10857,4588,6269,2629,912,1717,8228,3676,4552,
 BIHOR,4316,2556,1760,1644,1033,611,2672,1523,1149,
 BISTRITA-NASAUD,3295,1723,1572,1247,769,478,2048,954,1094,
 BOTOSANI,3156,1462,1694,1209,644,565,1947,818,1129,
 BRAILA,4475,1929,2546,1291,696,595,3184,1233,1951,
 BRASOV,5477,2525,2952,1898,1046,852,3579,1479,2100,
 BUZAU,11242,4578,6664,2059,1045,1014,9183,3533,5650,
 CALARASI,2829,1401,1428,743,380,363,2086,1021,1065,
 CARAS-SEVERIN,2984,1372,1612,1459,690,769,1525,682,843,
 CLUJ,4786,2600,2186,2218,1395,823,2568,1205,1363,
 CONSTANTA,6458,4007,2451,3425,2406,1019,3033,1601,1432,
 COVASNA,2880,1329,1551,866,451,415,2014,878,1136,
 DAMBOVITA,6035,2852,3183,1053,537,516,4982,2315,2667,
 DOLJ,18140,7876,10264,3199,1826,1373,14941,6050,8891,
 GALATI,10350,4501,5849,2021,1162,859,8329,3339,4990,
 GIURGIU,1763,959,804,451,287,164,1312,672,640,
 GORJ,4069,2040,2029,1318,798,520,2751,1242,1509,
 HARGHITA,5087,2370,2717,1549,823,726,3538,1547,1991,
 HUNEDOARA,6220,3450,2770,4368,2510,1858,1852,940,912,
 IALOMITA,3782,1756,2026,1182,649,533,2600,1107,1493,
 IASI,7909,3558,4351,1312,715,597,6597,2843,3754,
 ILFOV,657,387,270,216,127,89,441,260,181,
 MARAMURES,4216,2045,2171,2246,1149,1097,1970,896,1074,
 MEHEDINTI,6069,2676,3393,1449,754,695,4620,1922,2698,
 MURES,5782,2645,3137,1339,734,605,4443,1911,2532,
 NEAMT,7269,3440,3829,1588,915,673,5681,2525,3156,
 OLT,8573,3828,4745,1989,1132,857,6584,2696,3888,
 PRAHOVA,7223,3762,3461,2790,1642,1148,4433,2120,2313,
 SALAJ,4344,1933,2411,914,541,373,3430,1392,2038,
 SATU MARE,4172,1918,2254,967,533,434,3205,1385,1820,
 SIBIU,4087,1901,2186,1504,780,724,2583,1121,1462,
 SUCEAVA,10280,4524,5756,2900,1466,1434,7380,3058,4322,
 TELEORMAN,8808,3819,4989,2142,1116,1026,6666,2703,3963,
 TIMIS,2763,1506,1257,1360,782,578,1403,724,679,
 TULCEA,2715,1389,1326,858,505,353,1857,884,973,
 VALCEA,4967,2531,2436,1845,1080,765,3122,1451,1671,
 VASLUI,8421,3453,4968,1271,701,570,7150,2752,4398,
 VRANCEA,4777,2139,2638,1033,564,469,3744,1575,2169,
BUCURESTI,15186,8030,7156,15186,8030,7156,0,0,0,
Total TARA ,251944,119111,132833,83707,46147,37560,168237,72964,95273,
