JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5590,2738,2852,2320,1265,1055,3270,1473,1797,
 ARAD,4798,2782,2016,2243,1313,930,2555,1469,1086,
 ARGES,10508,5499,5009,2686,1699,987,7822,3800,4022,
 BACAU,10881,4703,6178,3025,1333,1692,7856,3370,4486,
 BIHOR,5349,3216,2133,2101,1333,768,3248,1883,1365,
 BISTRITA-NASAUD,3998,2271,1727,1516,917,599,2482,1354,1128,
 BOTOSANI,3991,1987,2004,1577,862,715,2414,1125,1289,
 BRAILA,4901,2156,2745,1474,831,643,3427,1325,2102,
 BRASOV,6581,3226,3355,2796,1550,1246,3785,1676,2109,
 BUZAU,12280,5241,7039,2473,1293,1180,9807,3948,5859,
 CALARASI,3765,1985,1780,1130,621,509,2635,1364,1271,
 CARAS-SEVERIN,3915,1824,2091,1801,872,929,2114,952,1162,
 CLUJ,6652,3728,2924,3132,1918,1214,3520,1810,1710,
 CONSTANTA,7017,3827,3190,3574,2174,1400,3443,1653,1790,
 COVASNA,4174,2158,2016,1499,838,661,2675,1320,1355,
 DAMBOVITA,5967,2901,3066,1141,624,517,4826,2277,2549,
 DOLJ,17467,7641,9826,3247,1880,1367,14220,5761,8459,
 GALATI,11944,5389,6555,2763,1596,1167,9181,3793,5388,
 GIURGIU,2186,1198,988,638,391,247,1548,807,741,
 GORJ,5271,2542,2729,1839,1010,829,3432,1532,1900,
 HARGHITA,6034,3108,2926,2094,1177,917,3940,1931,2009,
 HUNEDOARA,6265,3573,2692,4480,2656,1824,1785,917,868,
 IALOMITA,4352,2031,2321,1436,755,681,2916,1276,1640,
 IASI,9311,4452,4859,1951,1090,861,7360,3362,3998,
 ILFOV,851,490,361,252,147,105,599,343,256,
 MARAMURES,5425,2681,2744,3148,1581,1567,2277,1100,1177,
 MEHEDINTI,6499,2908,3591,1800,971,829,4699,1937,2762,
 MURES,6025,2999,3026,1827,1046,781,4198,1953,2245,
 NEAMT,8160,3888,4272,1772,1010,762,6388,2878,3510,
 OLT,9554,4417,5137,2473,1417,1056,7081,3000,4081,
 PRAHOVA,9089,4848,4241,3525,2031,1494,5564,2817,2747,
 SALAJ,5042,2302,2740,1289,729,560,3753,1573,2180,
 SATU MARE,5028,2362,2666,1143,601,542,3885,1761,2124,
 SIBIU,5441,2734,2707,2477,1351,1126,2964,1383,1581,
 SUCEAVA,11720,5648,6072,3833,2016,1817,7887,3632,4255,
 TELEORMAN,8722,3968,4754,2039,1146,893,6683,2822,3861,
 TIMIS,4105,2322,1783,2158,1255,903,1947,1067,880,
 TULCEA,2533,1271,1262,780,460,320,1753,811,942,
 VALCEA,6112,3079,3033,2317,1279,1038,3795,1800,1995,
 VASLUI,8281,3603,4678,1588,881,707,6693,2722,3971,
 VRANCEA,5524,2516,3008,1226,662,564,4298,1854,2444,
BUCURESTI,15354,8223,7131,15354,8223,7131,0,0,0,
Total TARA ,286662,140435,146227,101937,56804,45133,184725,83631,101094,
