JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6350,3053,3297,2408,1289,1119,3942,1764,2178,
 ARAD,4572,2631,1941,2181,1295,886,2391,1336,1055,
 ARGES,9840,4935,4905,2285,1420,865,7555,3515,4040,
 BACAU,11505,4867,6638,2976,1224,1752,8529,3643,4886,
 BIHOR,5965,3440,2525,2000,1285,715,3965,2155,1810,
 BISTRITA-NASAUD,4375,2313,2062,1523,888,635,2852,1425,1427,
 BOTOSANI,4007,1887,2120,1459,771,688,2548,1116,1432,
 BRAILA,5263,2220,3043,1408,774,634,3855,1446,2409,
 BRASOV,6714,3146,3568,2686,1432,1254,4028,1714,2314,
 BUZAU,13468,5529,7939,2646,1324,1322,10822,4205,6617,
 CALARASI,3890,1889,2001,1039,559,480,2851,1330,1521,
 CARAS-SEVERIN,3607,1695,1912,1560,776,784,2047,919,1128,
 CLUJ,6108,3379,2729,2986,1876,1110,3122,1503,1619,
 CONSTANTA,8732,5154,3578,4470,2967,1503,4262,2187,2075,
 COVASNA,4348,2124,2224,1369,738,631,2979,1386,1593,
 DAMBOVITA,6182,3008,3174,1182,643,539,5000,2365,2635,
 DOLJ,18872,8175,10697,3206,1851,1355,15666,6324,9342,
 GALATI,12190,5257,6933,2627,1438,1189,9563,3819,5744,
 GIURGIU,2098,1140,958,509,320,189,1589,820,769,
 GORJ,5212,2387,2825,1645,917,728,3567,1470,2097,
 HARGHITA,6162,3189,2973,1978,1181,797,4184,2008,2176,
 HUNEDOARA,5736,3156,2580,3927,2271,1656,1809,885,924,
 IALOMITA,4581,2054,2527,1450,756,694,3131,1298,1833,
 IASI,9356,4347,5009,1915,1047,868,7441,3300,4141,
 ILFOV,1441,884,557,375,236,139,1066,648,418,
 MARAMURES,4697,2313,2384,2624,1310,1314,2073,1003,1070,
 MEHEDINTI,6503,2899,3604,1871,985,886,4632,1914,2718,
 MURES,6423,3036,3387,1911,1012,899,4512,2024,2488,
 NEAMT,9034,4231,4803,1816,1043,773,7218,3188,4030,
 OLT,9441,4294,5147,2240,1258,982,7201,3036,4165,
 PRAHOVA,8571,4536,4035,3238,1886,1352,5333,2650,2683,
 SALAJ,5419,2537,2882,1322,759,563,4097,1778,2319,
 SATU MARE,5458,2548,2910,1143,595,548,4315,1953,2362,
 SIBIU,5496,2713,2783,2169,1200,969,3327,1513,1814,
 SUCEAVA,11804,5483,6321,3698,1909,1789,8106,3574,4532,
 TELEORMAN,9151,3907,5244,1924,1012,912,7227,2895,4332,
 TIMIS,4446,2534,1912,2280,1367,913,2166,1167,999,
 TULCEA,2520,1203,1317,698,416,282,1822,787,1035,
 VALCEA,5795,2841,2954,2059,1123,936,3736,1718,2018,
 VASLUI,9770,4238,5532,1775,1020,755,7995,3218,4777,
 VRANCEA,5698,2462,3236,1202,607,595,4496,1855,2641,
BUCURESTI,15251,8167,7084,15251,8167,7084,0,0,0,
Total TARA ,296051,141801,154250,99031,54947,44084,197020,86854,110166,
