JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5482,2441,3041,1959,966,993,3523,1475,2048,
 ARAD,2201,1121,1080,851,435,416,1350,686,664,
 ARGES,8136,3881,4255,1430,833,597,6706,3048,3658,
 BACAU,11332,4569,6763,2722,920,1802,8610,3649,4961,
 BIHOR,3839,2118,1721,1215,735,480,2624,1383,1241,
 BISTRITA-NASAUD,3517,1721,1796,1147,650,497,2370,1071,1299,
 BOTOSANI,3371,1460,1911,1200,606,594,2171,854,1317,
 BRAILA,4355,1773,2582,1112,549,563,3243,1224,2019,
 BRASOV,5029,2266,2763,1409,755,654,3620,1511,2109,
 BUZAU,11099,4473,6626,1888,932,956,9211,3541,5670,
 CALARASI,3136,1488,1648,715,350,365,2421,1138,1283,
 CARAS-SEVERIN,3324,1514,1810,1434,678,756,1890,836,1054,
 CLUJ,4357,2258,2099,1870,1144,726,2487,1114,1373,
 CONSTANTA,7048,4392,2656,3548,2521,1027,3500,1871,1629,
 COVASNA,2656,1167,1489,727,365,362,1929,802,1127,
 DAMBOVITA,6364,3025,3339,1062,559,503,5302,2466,2836,
 DOLJ,17999,7516,10483,2717,1414,1303,15282,6102,9180,
 GALATI,10323,4363,5960,1813,971,842,8510,3392,5118,
 GIURGIU,1599,820,779,329,196,133,1270,624,646,
 GORJ,4392,2054,2338,1256,690,566,3136,1364,1772,
 HARGHITA,4977,2143,2834,1429,710,719,3548,1433,2115,
 HUNEDOARA,5546,2873,2673,3678,1991,1687,1868,882,986,
 IALOMITA,4243,1851,2392,1213,610,603,3030,1241,1789,
 IASI,8106,3554,4552,1195,612,583,6911,2942,3969,
 ILFOV,777,449,328,228,139,89,549,310,239,
 MARAMURES,4713,2244,2469,2398,1135,1263,2315,1109,1206,
 MEHEDINTI,7005,3000,4005,1533,775,758,5472,2225,3247,
 MURES,6400,2790,3610,1218,635,583,5182,2155,3027,
 NEAMT,7604,3244,4360,1307,657,650,6297,2587,3710,
 OLT,8503,3662,4841,1810,955,855,6693,2707,3986,
 PRAHOVA,6854,3380,3474,2292,1268,1024,4562,2112,2450,
 SALAJ,4381,1858,2523,868,491,377,3513,1367,2146,
 SATU MARE,3733,1626,2107,685,343,342,3048,1283,1765,
 SIBIU,3529,1590,1939,1082,538,544,2447,1052,1395,
 SUCEAVA,10871,4677,6194,2840,1372,1468,8031,3305,4726,
 TELEORMAN,9696,4158,5538,2258,1151,1107,7438,3007,4431,
 TIMIS,2681,1404,1277,1223,690,533,1458,714,744,
 TULCEA,2856,1357,1499,835,462,373,2021,895,1126,
 VALCEA,4553,2272,2281,1509,869,640,3044,1403,1641,
 VASLUI,10208,4077,6131,1335,670,665,8873,3407,5466,
 VRANCEA,4898,2038,2860,952,466,486,3946,1572,2374,
BUCURESTI,15050,7937,7113,15050,7937,7113,0,0,0,
Total TARA ,256743,116604,140139,77342,40745,36597,179401,75859,103542,
