JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5190,2360,2830,1916,966,950,3274,1394,1880,
 ARAD,2234,1153,1081,872,464,408,1362,689,673,
 ARGES,8096,3925,4171,1544,921,623,6552,3004,3548,
 BACAU,10983,4520,6463,2669,897,1772,8314,3623,4691,
 BIHOR,4155,2386,1769,1423,894,529,2732,1492,1240,
 BISTRITA-NASAUD,3216,1593,1623,1080,621,459,2136,972,1164,
 BOTOSANI,3132,1390,1742,1122,587,535,2010,803,1207,
 BRAILA,4301,1793,2508,1139,582,557,3162,1211,1951,
 BRASOV,5113,2330,2783,1531,841,690,3582,1489,2093,
 BUZAU,10990,4433,6557,1881,927,954,9109,3506,5603,
 CALARASI,3012,1477,1535,689,354,335,2323,1123,1200,
 CARAS-SEVERIN,3236,1466,1770,1401,656,745,1835,810,1025,
 CLUJ,4479,2381,2098,1935,1198,737,2544,1183,1361,
 CONSTANTA,6763,4247,2516,3433,2468,965,3330,1779,1551,
 COVASNA,2680,1195,1485,738,376,362,1942,819,1123,
 DAMBOVITA,6207,2937,3270,1040,545,495,5167,2392,2775,
 DOLJ,17131,7145,9986,2478,1297,1181,14653,5848,8805,
 GALATI,10247,4367,5880,1861,1018,843,8386,3349,5037,
 GIURGIU,1640,873,767,368,229,139,1272,644,628,
 GORJ,4314,2096,2218,1290,754,536,3024,1342,1682,
 HARGHITA,4843,2167,2676,1396,710,686,3447,1457,1990,
 HUNEDOARA,5822,3159,2663,3919,2224,1695,1903,935,968,
 IALOMITA,3996,1795,2201,1198,627,571,2798,1168,1630,
 IASI,7613,3381,4232,1107,592,515,6506,2789,3717,
 ILFOV,738,418,320,216,127,89,522,291,231,
 MARAMURES,4530,2204,2326,2309,1247,1062,2221,957,1264,
 MEHEDINTI,6923,2911,4012,1546,772,774,5377,2139,3238,
 MURES,6094,2684,3410,1176,611,565,4918,2073,2845,
 NEAMT,7500,3304,4196,1411,747,664,6089,2557,3532,
 OLT,8318,3605,4713,1792,978,814,6526,2627,3899,
 PRAHOVA,6656,3327,3329,2324,1301,1023,4332,2026,2306,
 SALAJ,4226,1797,2429,800,458,342,3426,1339,2087,
 SATU MARE,3834,1728,2106,770,415,355,3064,1313,1751,
 SIBIU,3688,1708,1980,1219,638,581,2469,1070,1399,
 SUCEAVA,10389,4527,5862,2781,1356,1425,7608,3171,4437,
 TELEORMAN,9304,3964,5340,2160,1101,1059,7144,2863,4281,
 TIMIS,2449,1311,1138,1176,668,508,1273,643,630,
 TULCEA,2800,1405,1395,829,480,349,1971,925,1046,
 VALCEA,4591,2315,2276,1566,904,662,3025,1411,1614,
 VASLUI,9600,3914,5686,1314,698,616,8286,3216,5070,
 VRANCEA,4853,2065,2788,968,491,477,3885,1574,2311,
BUCURESTI,14996,7908,7088,14996,7908,7088,0,0,0,
Total TARA ,250882,115664,135218,77383,41648,35735,173499,74016,99483,
