JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6429,3139,3290,2461,1340,1121,3968,1799,2169,
 ARAD,4582,2672,1910,2196,1307,889,2386,1365,1021,
 ARGES,9719,4967,4752,2307,1462,845,7412,3505,3907,
 BACAU,11165,4780,6385,3001,1234,1767,8164,3546,4618,
 BIHOR,5833,3392,2441,1973,1258,715,3860,2134,1726,
 BISTRITA-NASAUD,4098,2251,1847,1502,886,616,2596,1365,1231,
 BOTOSANI,3898,1904,1994,1453,791,662,2445,1113,1332,
 BRAILA,5061,2174,2887,1370,762,608,3691,1412,2279,
 BRASOV,7050,3340,3710,2869,1548,1321,4181,1792,2389,
 BUZAU,12378,5165,7213,2585,1300,1285,9793,3865,5928,
 CALARASI,3809,1938,1871,1075,585,490,2734,1353,1381,
 CARAS-SEVERIN,3758,1767,1991,1650,812,838,2108,955,1153,
 CLUJ,6003,3376,2627,2971,1876,1095,3032,1500,1532,
 CONSTANTA,8629,5063,3566,4560,2941,1619,4069,2122,1947,
 COVASNA,4492,2266,2226,1482,811,671,3010,1455,1555,
 DAMBOVITA,6236,3063,3173,1175,637,538,5061,2426,2635,
 DOLJ,18343,7964,10379,3203,1845,1358,15140,6119,9021,
 GALATI,12092,5306,6786,2693,1489,1204,9399,3817,5582,
 GIURGIU,2169,1194,975,557,346,211,1612,848,764,
 GORJ,5325,2469,2856,1713,946,767,3612,1523,2089,
 HARGHITA,6504,3386,3118,2135,1256,879,4369,2130,2239,
 HUNEDOARA,5925,3302,2623,4077,2380,1697,1848,922,926,
 IALOMITA,4237,1992,2245,1422,776,646,2815,1216,1599,
 IASI,9132,4242,4890,1921,1060,861,7211,3182,4029,
 ILFOV,1450,888,562,384,240,144,1066,648,418,
 MARAMURES,4999,2495,2504,2897,1435,1462,2102,1060,1042,
 MEHEDINTI,6238,2833,3405,1766,956,810,4472,1877,2595,
 MURES,6102,2949,3153,1943,1036,907,4159,1913,2246,
 NEAMT,7722,3666,4056,1733,989,744,5989,2677,3312,
 OLT,9391,4398,4993,2328,1357,971,7063,3041,4022,
 PRAHOVA,8670,4635,4035,3350,1952,1398,5320,2683,2637,
 SALAJ,5299,2522,2777,1288,760,528,4011,1762,2249,
 SATU MARE,5369,2532,2837,1157,604,553,4212,1928,2284,
 SIBIU,5183,2622,2561,2154,1209,945,3029,1413,1616,
 SUCEAVA,12130,5801,6329,3857,2033,1824,8273,3768,4505,
 TELEORMAN,8943,3907,5036,1924,1048,876,7019,2859,4160,
 TIMIS,4129,2339,1790,2104,1247,857,2025,1092,933,
 TULCEA,2632,1304,1328,787,466,321,1845,838,1007,
 VALCEA,5818,2937,2881,2200,1225,975,3618,1712,1906,
 VASLUI,8830,3905,4925,1714,1007,707,7116,2898,4218,
 VRANCEA,5617,2492,3125,1222,622,600,4395,1870,2525,
BUCURESTI,15287,8209,7078,15287,8209,7078,0,0,0,
Total TARA ,290676,141546,149130,100446,56043,44403,190230,85503,104727,
