JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5962,2906,3056,2111,1166,945,3851,1740,2111,
 ARAD,4201,2299,1902,1776,1028,748,2425,1271,1154,
 ARGES,9531,4813,4718,2276,1439,837,7255,3374,3881,
 BACAU,12118,5046,7072,2841,1455,1386,9277,3591,5686,
 BIHOR,5449,3096,2353,1865,1183,682,3584,1913,1671,
 BISTRITA-NASAUD,4356,2212,2144,1535,785,750,2821,1427,1394,
 BOTOSANI,3518,1621,1897,1232,639,593,2286,982,1304,
 BRAILA,5053,2143,2910,1384,735,649,3669,1408,2261,
 BRASOV,6148,2958,3190,2195,1217,978,3953,1741,2212,
 BUZAU,9701,3826,5875,1556,773,783,8145,3053,5092,
 CALARASI,2924,1456,1468,752,372,380,2172,1084,1088,
 CARAS-SEVERIN,3545,1678,1867,1578,766,812,1967,912,1055,
 CLUJ,5967,3231,2736,2780,1723,1057,3187,1508,1679,
 CONSTANTA,7064,3981,3083,3442,2234,1208,3622,1747,1875,
 COVASNA,4080,1976,2104,1153,629,524,2927,1347,1580,
 DAMBOVITA,6139,2841,3298,1189,616,573,4950,2225,2725,
 DOLJ,17416,7476,9940,2811,1627,1184,14605,5849,8756,
 GALATI,10918,4739,6179,2195,1256,939,8723,3483,5240,
 GIURGIU,2315,1209,1106,578,333,245,1737,876,861,
 GORJ,4564,2164,2400,1449,842,607,3115,1322,1793,
 HARGHITA,5577,2818,2759,1758,1013,745,3819,1805,2014,
 HUNEDOARA,5615,3102,2513,3772,2184,1588,1843,918,925,
 IALOMITA,4316,1954,2362,1407,732,675,2909,1222,1687,
 IASI,9214,4134,5080,1704,940,764,7510,3194,4316,
 ILFOV,1453,874,579,506,325,181,947,549,398,
 MARAMURES,4132,2070,2062,2132,1143,989,2000,927,1073,
 MEHEDINTI,6020,2615,3405,1360,731,629,4660,1884,2776,
 MURES,6616,3148,3468,1932,1030,902,4684,2118,2566,
 NEAMT,8154,3645,4509,1633,903,730,6521,2742,3779,
 OLT,8718,3925,4793,2001,1123,878,6717,2802,3915,
 PRAHOVA,8103,4148,3955,2819,1628,1191,5284,2520,2764,
 SALAJ,5029,2277,2752,1020,587,433,4009,1690,2319,
 SATU MARE,5011,2356,2655,985,534,451,4026,1822,2204,
 SIBIU,4652,2232,2420,1778,961,817,2874,1271,1603,
 SUCEAVA,11106,4918,6188,3109,1571,1538,7997,3347,4650,
 TELEORMAN,8934,3746,5188,1901,953,948,7033,2793,4240,
 TIMIS,4010,2238,1772,2044,1234,810,1966,1004,962,
 TULCEA,2801,1368,1433,819,456,363,1982,912,1070,
 VALCEA,5681,2800,2881,2134,1182,952,3547,1618,1929,
 VASLUI,10072,4283,5789,1618,935,683,8454,3348,5106,
 VRANCEA,5824,2532,3292,1154,601,553,4670,1931,2739,
BUCURESTI,14891,8061,6830,14891,8061,6830,0,0,0,
Total TARA ,276898,130915,145983,89175,49645,39530,187723,81270,106453,
