JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5040,2337,2703,1587,815,772,3453,1522,1931,
 ARAD,2949,1572,1377,1111,631,480,1838,941,897,
 ARGES,8254,3995,4259,1500,882,618,6754,3113,3641,
 BACAU,6878,2884,3994,2126,1014,1112,4752,1870,2882,
 BIHOR,3523,1846,1677,1059,626,433,2464,1220,1244,
 BISTRITA-NASAUD,3930,1938,1992,1268,730,538,2662,1208,1454,
 BOTOSANI,2835,1254,1581,888,422,466,1947,832,1115,
 BRAILA,3643,1506,2137,863,449,414,2780,1057,1723,
 BRASOV,5123,2357,2766,1595,846,749,3528,1511,2017,
 BUZAU,8138,3381,4757,1573,809,764,6565,2572,3993,
 CALARASI,2843,1350,1493,786,373,413,2057,977,1080,
 CARAS-SEVERIN,2392,1110,1282,967,466,501,1425,644,781,
 CLUJ,4442,2269,2173,1806,1094,712,2636,1175,1461,
 CONSTANTA,6454,3951,2503,3008,2067,941,3446,1884,1562,
 COVASNA,3269,1563,1706,888,470,418,2381,1093,1288,
 DAMBOVITA,4613,2193,2420,742,411,331,3871,1782,2089,
 DOLJ,15375,6541,8834,2254,1218,1036,13121,5323,7798,
 GALATI,10626,4681,5945,1762,948,814,8864,3733,5131,
 GIURGIU,1979,1027,952,471,266,205,1508,761,747,
 GORJ,4295,2038,2257,1273,721,552,3022,1317,1705,
 HARGHITA,4639,2090,2549,1341,672,669,3298,1418,1880,
 HUNEDOARA,6231,2978,3253,4199,2050,2149,2032,928,1104,
 IALOMITA,4116,1815,2301,1127,541,586,2989,1274,1715,
 IASI,7987,3528,4459,1242,674,568,6745,2854,3891,
 ILFOV,767,465,302,215,150,65,552,315,237,
 MARAMURES,3711,1947,1764,2031,1087,944,1680,860,820,
 MEHEDINTI,5641,2382,3259,991,505,486,4650,1877,2773,
 MURES,5188,2412,2776,1421,740,681,3767,1672,2095,
 NEAMT,6582,2936,3646,1071,588,483,5511,2348,3163,
 OLT,7659,3367,4292,1548,768,780,6111,2599,3512,
 PRAHOVA,5915,2973,2942,1989,1140,849,3926,1833,2093,
 SALAJ,4352,1854,2498,807,441,366,3545,1413,2132,
 SATU MARE,4597,2053,2544,815,406,409,3782,1647,2135,
 SIBIU,3672,1666,2006,1253,625,628,2419,1041,1378,
 SUCEAVA,10401,4376,6025,2743,1277,1466,7658,3099,4559,
 TELEORMAN,8640,3543,5097,1774,832,942,6866,2711,4155,
 TIMIS,2592,1407,1185,1152,672,480,1440,735,705,
 TULCEA,2268,1065,1203,485,258,227,1783,807,976,
 VALCEA,4830,2371,2459,1529,861,668,3301,1510,1791,
 VASLUI,9153,3700,5453,1226,632,594,7927,3068,4859,
 VRANCEA,5211,2236,2975,914,456,458,4297,1780,2517,
BUCURESTI,14004,7436,6568,14004,7436,6568,0,0,0,
Total TARA ,234757,108393,126364,71404,38069,33335,163353,70324,93029,
