JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6736,3182,3554,2421,1294,1127,4315,1888,2427,
 ARAD,4077,2314,1763,1887,1032,855,2190,1282,908,
 ARGES,9843,4901,4942,2310,1422,888,7533,3479,4054,
 BACAU,12021,5063,6958,3085,1424,1661,8936,3639,5297,
 BIHOR,5822,3354,2468,2027,1293,734,3795,2061,1734,
 BISTRITA-NASAUD,4368,2277,2091,1523,885,638,2845,1392,1453,
 BOTOSANI,4108,1860,2248,1481,760,721,2627,1100,1527,
 BRAILA,5389,2268,3121,1454,799,655,3935,1469,2466,
 BRASOV,6608,3112,3496,2619,1420,1199,3989,1692,2297,
 BUZAU,13102,5290,7812,2574,1267,1307,10528,4023,6505,
 CALARASI,3610,1742,1868,825,458,367,2785,1284,1501,
 CARAS-SEVERIN,3547,1677,1870,1519,766,753,2028,911,1117,
 CLUJ,6407,3510,2897,3285,2113,1172,3122,1397,1725,
 CONSTANTA,8330,4935,3395,4195,2810,1385,4135,2125,2010,
 COVASNA,4303,2095,2208,1324,729,595,2979,1366,1613,
 DAMBOVITA,5775,2826,2949,1149,608,541,4626,2218,2408,
 DOLJ,18848,8120,10728,3176,1830,1346,15672,6290,9382,
 GALATI,11856,5033,6823,2394,1312,1082,9462,3721,5741,
 GIURGIU,2062,1097,965,511,308,203,1551,789,762,
 GORJ,5121,2324,2797,1624,891,733,3497,1433,2064,
 HARGHITA,6303,3239,3064,2115,1218,897,4188,2021,2167,
 HUNEDOARA,5426,2783,2643,3600,1927,1673,1826,856,970,
 IALOMITA,4732,2111,2621,1545,809,736,3187,1302,1885,
 IASI,9708,4475,5233,2028,1097,931,7680,3378,4302,
 ILFOV,1466,892,574,382,237,145,1084,655,429,
 MARAMURES,3991,2062,1929,2232,1236,996,1759,826,933,
 MEHEDINTI,6281,2796,3485,1752,915,837,4529,1881,2648,
 MURES,6241,2940,3301,1879,1001,878,4362,1939,2423,
 NEAMT,9252,4178,5074,1831,1005,826,7421,3173,4248,
 OLT,9546,4295,5251,2258,1268,990,7288,3027,4261,
 PRAHOVA,8445,4466,3979,3134,1827,1307,5311,2639,2672,
 SALAJ,5326,2480,2846,1261,737,524,4065,1743,2322,
 SATU MARE,5516,2575,2941,1162,608,554,4354,1967,2387,
 SIBIU,5301,2605,2696,2076,1145,931,3225,1460,1765,
 SUCEAVA,10635,4835,5800,3296,1690,1606,7339,3145,4194,
 TELEORMAN,9267,3902,5365,1961,1008,953,7306,2894,4412,
 TIMIS,4497,2516,1981,2221,1321,900,2276,1195,1081,
 TULCEA,2634,1249,1385,763,434,329,1871,815,1056,
 VALCEA,5656,2811,2845,2016,1127,889,3640,1684,1956,
 VASLUI,9367,4031,5336,1713,971,742,7654,3060,4594,
 VRANCEA,5619,2396,3223,1167,584,583,4452,1812,2640,
BUCURESTI,15074,8153,6921,15074,8153,6921,0,0,0,
Total TARA ,292216,138770,153446,96849,53739,43110,195367,85031,110336,
