JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4984,2425,2559,1679,920,759,3305,1505,1800,
 ARAD,3849,2049,1800,1537,847,690,2312,1202,1110,
 ARGES,8488,4159,4329,1798,1089,709,6690,3070,3620,
 BACAU,12042,4932,7110,2583,1375,1208,9459,3557,5902,
 BIHOR,4388,2427,1961,1456,904,552,2932,1523,1409,
 BISTRITA-NASAUD,4176,2142,2034,1410,810,600,2766,1332,1434,
 BOTOSANI,3091,1441,1650,1021,512,509,2070,929,1141,
 BRAILA,4040,1715,2325,1039,568,471,3001,1147,1854,
 BRASOV,6599,3137,3462,2385,1293,1092,4214,1844,2370,
 BUZAU,9521,3876,5645,1602,817,785,7919,3059,4860,
 CALARASI,3050,1579,1471,786,452,334,2264,1127,1137,
 CARAS-SEVERIN,3338,1582,1756,1443,706,737,1895,876,1019,
 CLUJ,5215,2783,2432,2389,1472,917,2826,1311,1515,
 CONSTANTA,5774,3044,2730,2644,1578,1066,3130,1466,1664,
 COVASNA,3705,1744,1961,1003,522,481,2702,1222,1480,
 DAMBOVITA,5930,2769,3161,1069,567,502,4861,2202,2659,
 DOLJ,15693,6707,8986,2570,1462,1108,13123,5245,7878,
 GALATI,10910,4684,6226,2032,1124,908,8878,3560,5318,
 GIURGIU,2229,1160,1069,512,299,213,1717,861,856,
 GORJ,4146,2008,2138,1257,749,508,2889,1259,1630,
 HARGHITA,5050,2509,2541,1533,857,676,3517,1652,1865,
 HUNEDOARA,5412,2885,2527,3697,2037,1660,1715,848,867,
 IALOMITA,4191,1874,2317,1285,631,654,2906,1243,1663,
 IASI,8835,3912,4923,1552,845,707,7283,3067,4216,
 ILFOV,1257,735,522,377,238,139,880,497,383,
 MARAMURES,4553,2249,2304,2458,1288,1170,2095,961,1134,
 MEHEDINTI,5957,2529,3428,1104,560,544,4853,1969,2884,
 MURES,6237,2945,3292,1785,972,813,4452,1973,2479,
 NEAMT,7162,3193,3969,1380,759,621,5782,2434,3348,
 OLT,8292,3730,4562,1762,985,777,6530,2745,3785,
 PRAHOVA,7118,3652,3466,2470,1432,1038,4648,2220,2428,
 SALAJ,4982,2217,2765,1025,551,474,3957,1666,2291,
 SATU MARE,4585,2115,2470,851,452,399,3734,1663,2071,
 SIBIU,3982,1889,2093,1544,813,731,2438,1076,1362,
 SUCEAVA,10094,4543,5551,2674,1373,1301,7420,3170,4250,
 TELEORMAN,8861,3747,5114,2072,1014,1058,6789,2733,4056,
 TIMIS,3213,1826,1387,1544,934,610,1669,892,777,
 TULCEA,2625,1307,1318,753,441,312,1872,866,1006,
 VALCEA,5009,2496,2513,1745,987,758,3264,1509,1755,
 VASLUI,9578,4035,5543,1492,837,655,8086,3198,4888,
 VRANCEA,5868,2538,3330,1174,591,583,4694,1947,2747,
BUCURESTI,14745,7895,6850,14745,7895,6850,0,0,0,
Total TARA ,258774,121184,137590,81237,44558,36679,177537,76626,100911,
