JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5315,2572,2743,1872,1024,848,3443,1548,1895,
 ARAD,3956,2097,1859,1604,893,711,2352,1204,1148,
 ARGES,8706,4342,4364,1915,1205,710,6791,3137,3654,
 BACAU,11960,4937,7023,2645,1380,1265,9315,3557,5758,
 BIHOR,4813,2684,2129,1615,1013,602,3198,1671,1527,
 BISTRITA-NASAUD,4224,2120,2104,1424,788,636,2800,1332,1468,
 BOTOSANI,3071,1409,1662,1013,515,498,2058,894,1164,
 BRAILA,4409,1883,2526,1143,619,524,3266,1264,2002,
 BRASOV,6511,3133,3378,2337,1291,1046,4174,1842,2332,
 BUZAU,9407,3749,5658,1476,729,747,7931,3020,4911,
 CALARASI,2980,1569,1411,716,442,274,2264,1127,1137,
 CARAS-SEVERIN,3334,1583,1751,1462,725,737,1872,858,1014,
 CLUJ,5409,2890,2519,2470,1523,947,2939,1367,1572,
 CONSTANTA,6068,3261,2807,2830,1733,1097,3238,1528,1710,
 COVASNA,3980,1947,2033,1077,596,481,2903,1351,1552,
 DAMBOVITA,6044,2792,3252,1116,587,529,4928,2205,2723,
 DOLJ,16171,6913,9258,2681,1532,1149,13490,5381,8109,
 GALATI,10977,4710,6267,2080,1173,907,8897,3537,5360,
 GIURGIU,2278,1169,1109,526,301,225,1752,868,884,
 GORJ,4139,2003,2136,1271,772,499,2868,1231,1637,
 HARGHITA,5147,2594,2553,1596,906,690,3551,1688,1863,
 HUNEDOARA,5289,2909,2380,3547,2027,1520,1742,882,860,
 IALOMITA,4133,1835,2298,1226,614,612,2907,1221,1686,
 IASI,8846,3942,4904,1560,866,694,7286,3076,4210,
 ILFOV,1362,816,546,440,277,163,922,539,383,
 MARAMURES,4209,2065,2144,2202,1140,1062,2007,925,1082,
 MEHEDINTI,5845,2500,3345,1147,603,544,4698,1897,2801,
 MURES,6111,2938,3173,1710,936,774,4401,2002,2399,
 NEAMT,7382,3297,4085,1489,818,671,5893,2479,3414,
 OLT,8202,3687,4515,1725,984,741,6477,2703,3774,
 PRAHOVA,7421,3763,3658,2608,1489,1119,4813,2274,2539,
 SALAJ,4880,2202,2678,937,533,404,3943,1669,2274,
 SATU MARE,4742,2223,2519,907,493,414,3835,1730,2105,
 SIBIU,4098,1934,2164,1584,849,735,2514,1085,1429,
 SUCEAVA,10384,4590,5794,2824,1432,1392,7560,3158,4402,
 TELEORMAN,8864,3692,5172,2023,990,1033,6841,2702,4139,
 TIMIS,3267,1899,1368,1559,986,573,1708,913,795,
 TULCEA,2730,1331,1399,789,451,338,1941,880,1061,
 VALCEA,5138,2534,2604,1829,1031,798,3309,1503,1806,
 VASLUI,9686,4111,5575,1489,860,629,8197,3251,4946,
 VRANCEA,5817,2521,3296,1152,585,567,4665,1936,2729,
BUCURESTI,14826,7987,6839,14826,7987,6839,0,0,0,
Total TARA ,262131,123133,138998,82442,45698,36744,179689,77435,102254,
