JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,6332,3031,3301,2274,1237,1037,4058,1794,2264,
 ARAD,4486,2473,2013,1930,1135,795,2556,1338,1218,
 ARGES,9875,4952,4923,2372,1485,887,7503,3467,4036,
 BACAU,12516,5241,7275,3073,1515,1558,9443,3726,5717,
 BIHOR,6280,3599,2681,2313,1492,821,3967,2107,1860,
 BISTRITA-NASAUD,4613,2362,2251,1622,883,739,2991,1479,1512,
 BOTOSANI,3888,1768,2120,1407,728,679,2481,1040,1441,
 BRAILA,5265,2207,3058,1452,769,683,3813,1438,2375,
 BRASOV,6551,3095,3456,2394,1292,1102,4157,1803,2354,
 BUZAU,10295,4103,6192,1752,855,897,8543,3248,5295,
 CALARASI,3252,1571,1681,889,473,416,2363,1098,1265,
 CARAS-SEVERIN,3760,1765,1995,1651,812,839,2109,953,1156,
 CLUJ,6129,3326,2803,2889,1792,1097,3240,1534,1706,
 CONSTANTA,8170,4792,3378,4061,2707,1354,4109,2085,2024,
 COVASNA,4153,2034,2119,1225,679,546,2928,1355,1573,
 DAMBOVITA,5956,2849,3107,1146,622,524,4810,2227,2583,
 DOLJ,18384,7845,10539,3016,1705,1311,15368,6140,9228,
 GALATI,11622,5012,6610,2346,1324,1022,9276,3688,5588,
 GIURGIU,2235,1170,1065,542,322,220,1693,848,845,
 GORJ,5108,2373,2735,1616,908,708,3492,1465,2027,
 HARGHITA,6023,3003,3020,1927,1106,821,4096,1897,2199,
 HUNEDOARA,5743,3174,2569,3961,2302,1659,1782,872,910,
 IALOMITA,4627,2070,2557,1505,783,722,3122,1287,1835,
 IASI,9676,4357,5319,1918,1047,871,7758,3310,4448,
 ILFOV,1439,886,553,511,330,181,928,556,372,
 MARAMURES,4100,2054,2046,2093,1137,956,2007,917,1090,
 MEHEDINTI,6277,2764,3513,1736,903,833,4541,1861,2680,
 MURES,6703,3098,3605,1956,1020,936,4747,2078,2669,
 NEAMT,9119,4018,5101,1837,993,844,7282,3025,4257,
 OLT,9391,4266,5125,2253,1269,984,7138,2997,4141,
 PRAHOVA,8442,4357,4085,2991,1735,1256,5451,2622,2829,
 SALAJ,5288,2408,2880,1139,653,486,4149,1755,2394,
 SATU MARE,5042,2358,2684,986,521,465,4056,1837,2219,
 SIBIU,4893,2359,2534,1912,1041,871,2981,1318,1663,
 SUCEAVA,11353,5024,6329,3172,1593,1579,8181,3431,4750,
 TELEORMAN,9496,3993,5503,2020,1039,981,7476,2954,4522,
 TIMIS,4180,2311,1869,2125,1261,864,2055,1050,1005,
 TULCEA,2841,1362,1479,842,476,366,1999,886,1113,
 VALCEA,6049,2996,3053,2279,1272,1007,3770,1724,2046,
 VASLUI,10431,4433,5998,1726,983,743,8705,3450,5255,
 VRANCEA,6015,2616,3399,1241,643,598,4774,1973,2801,
BUCURESTI,14974,8127,6847,14974,8127,6847,0,0,0,
Total TARA ,290972,137602,153370,95074,52969,42105,195898,84633,111265,
