JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4601,2269,2332,1468,810,658,3133,1459,1674,
 ARAD,3329,1747,1582,1219,674,545,2110,1073,1037,
 ARGES,8128,3963,4165,1559,929,630,6569,3034,3535,
 BACAU,11547,4746,6801,2410,1122,1288,9137,3624,5513,
 BIHOR,3773,2024,1749,1221,714,507,2552,1310,1242,
 BISTRITA-NASAUD,4027,2096,1931,1335,770,565,2692,1326,1366,
 BOTOSANI,2805,1301,1504,892,439,453,1913,862,1051,
 BRAILA,3773,1557,2216,941,490,451,2832,1067,1765,
 BRASOV,5637,2605,3032,1930,1010,920,3707,1595,2112,
 BUZAU,8823,3674,5149,1734,892,842,7089,2782,4307,
 CALARASI,2921,1393,1528,820,375,445,2101,1018,1083,
 CARAS-SEVERIN,2865,1335,1530,1195,585,610,1670,750,920,
 CLUJ,4374,2294,2080,1864,1156,708,2510,1138,1372,
 CONSTANTA,5671,3257,2414,2549,1677,872,3122,1580,1542,
 COVASNA,3223,1509,1714,933,478,455,2290,1031,1259,
 DAMBOVITA,5235,2475,2760,914,500,414,4321,1975,2346,
 DOLJ,15198,6454,8744,2356,1292,1064,12842,5162,7680,
 GALATI,10221,4408,5813,1874,1028,846,8347,3380,4967,
 GIURGIU,1988,1018,970,501,305,196,1487,713,774,
 GORJ,4267,2024,2243,1265,723,542,3002,1301,1701,
 HARGHITA,4545,2152,2393,1398,726,672,3147,1426,1721,
 HUNEDOARA,6036,2933,3103,4193,2081,2112,1843,852,991,
 IALOMITA,3904,1751,2153,1100,525,575,2804,1226,1578,
 IASI,7980,3505,4475,1291,684,607,6689,2821,3868,
 ILFOV,1074,634,440,317,208,109,757,426,331,
 MARAMURES,3976,2074,1902,2260,1214,1046,1716,860,856,
 MEHEDINTI,5676,2396,3280,1010,520,490,4666,1876,2790,
 MURES,5751,2745,3006,1557,865,692,4194,1880,2314,
 NEAMT,6483,2906,3577,1100,615,485,5383,2291,3092,
 OLT,7859,3520,4339,1570,857,713,6289,2663,3626,
 PRAHOVA,6033,3103,2930,2077,1205,872,3956,1898,2058,
 SALAJ,4494,1999,2495,880,487,393,3614,1512,2102,
 SATU MARE,4458,2043,2415,801,418,383,3657,1625,2032,
 SIBIU,3513,1642,1871,1267,663,604,2246,979,1267,
 SUCEAVA,10012,4420,5592,2641,1297,1344,7371,3123,4248,
 TELEORMAN,8782,3694,5088,2044,958,1086,6738,2736,4002,
 TIMIS,2883,1617,1266,1346,803,543,1537,814,723,
 TULCEA,2388,1181,1207,679,370,309,1709,811,898,
 VALCEA,4775,2368,2407,1644,910,734,3131,1458,1673,
 VASLUI,8656,3642,5014,1287,714,573,7369,2928,4441,
 VRANCEA,5584,2413,3171,1080,537,543,4504,1876,2628,
BUCURESTI,14272,7571,6701,14272,7571,6701,0,0,0,
Total TARA ,241540,112458,129082,74794,40197,34597,166746,72261,94485,
