JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4815,2361,2454,1597,891,706,3218,1470,1748,
 ARAD,3540,1852,1688,1355,737,618,2185,1115,1070,
 ARGES,8254,4012,4242,1629,954,675,6625,3058,3567,
 BACAU,11881,4901,6980,2568,1215,1353,9313,3686,5627,
 BIHOR,3864,2145,1719,1250,766,484,2614,1379,1235,
 BISTRITA-NASAUD,4044,2110,1934,1314,778,536,2730,1332,1398,
 BOTOSANI,2944,1364,1580,944,467,477,2000,897,1103,
 BRAILA,3932,1647,2285,1014,538,476,2918,1109,1809,
 BRASOV,5934,2781,3153,2122,1119,1003,3812,1662,2150,
 BUZAU,9373,3894,5479,1811,936,875,7562,2958,4604,
 CALARASI,3030,1579,1451,944,558,386,2086,1021,1065,
 CARAS-SEVERIN,3036,1390,1646,1256,606,650,1780,784,996,
 CLUJ,4756,2530,2226,2127,1312,815,2629,1218,1411,
 CONSTANTA,5360,2860,2500,2359,1440,919,3001,1420,1581,
 COVASNA,3472,1666,1806,1010,540,470,2462,1126,1336,
 DAMBOVITA,5412,2565,2847,971,539,432,4441,2026,2415,
 DOLJ,15452,6591,8861,2538,1404,1134,12914,5187,7727,
 GALATI,10780,4628,6152,2018,1098,920,8762,3530,5232,
 GIURGIU,2151,1108,1043,534,309,225,1617,799,818,
 GORJ,4218,2014,2204,1281,733,548,2937,1281,1656,
 HARGHITA,4665,2281,2384,1431,774,657,3234,1507,1727,
 HUNEDOARA,6275,3043,3232,4368,2165,2203,1907,878,1029,
 IALOMITA,4009,1811,2198,1174,565,609,2835,1246,1589,
 IASI,8533,3730,4803,1440,759,681,7093,2971,4122,
 ILFOV,1113,662,451,334,222,112,779,440,339,
 MARAMURES,4460,2348,2112,2574,1415,1159,1886,933,953,
 MEHEDINTI,5793,2474,3319,1133,586,547,4660,1888,2772,
 MURES,5606,2681,2925,1544,857,687,4062,1824,2238,
 NEAMT,6935,3124,3811,1302,716,586,5633,2408,3225,
 OLT,8106,3622,4484,1693,933,760,6413,2689,3724,
 PRAHOVA,6384,3316,3068,2186,1286,900,4198,2030,2168,
 SALAJ,4663,2093,2570,940,528,412,3723,1565,2158,
 SATU MARE,4568,2081,2487,847,434,413,3721,1647,2074,
 SIBIU,3617,1686,1931,1352,697,655,2265,989,1276,
 SUCEAVA,10098,4546,5552,2731,1375,1356,7367,3171,4196,
 TELEORMAN,8713,3685,5028,2067,994,1073,6646,2691,3955,
 TIMIS,3011,1693,1318,1451,862,589,1560,831,729,
 TULCEA,2336,1165,1171,643,354,289,1693,811,882,
 VALCEA,4877,2407,2470,1670,937,733,3207,1470,1737,
 VASLUI,8896,3780,5116,1372,778,594,7524,3002,4522,
 VRANCEA,5800,2539,3261,1138,578,560,4662,1961,2701,
BUCURESTI,14445,7706,6739,14445,7706,6739,0,0,0,
Total TARA ,249151,116471,132680,78477,42461,36016,170674,74010,96664,
