JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5379,2416,2963,1616,807,809,3763,1609,2154,
 ARAD,2669,1343,1326,935,529,406,1734,814,920,
 ARGES,7905,3742,4163,1252,723,529,6653,3019,3634,
 BACAU,6623,2768,3855,2022,957,1065,4601,1811,2790,
 BIHOR,3224,1606,1618,871,481,390,2353,1125,1228,
 BISTRITA-NASAUD,4040,1909,2131,1238,680,558,2802,1229,1573,
 BOTOSANI,2855,1239,1616,882,423,459,1973,816,1157,
 BRAILA,3544,1421,2123,808,403,405,2736,1018,1718,
 BRASOV,5270,2479,2791,1443,794,649,3827,1685,2142,
 BUZAU,8086,3330,4756,1495,785,710,6591,2545,4046,
 CALARASI,2919,1386,1533,767,354,413,2152,1032,1120,
 CARAS-SEVERIN,2296,1027,1269,919,425,494,1377,602,775,
 CLUJ,4380,2237,2143,1712,1045,667,2668,1192,1476,
 CONSTANTA,6112,3727,2385,2715,1882,833,3397,1845,1552,
 COVASNA,3647,1782,1865,777,416,361,2870,1366,1504,
 DAMBOVITA,4490,2157,2333,706,397,309,3784,1760,2024,
 DOLJ,15785,6610,9175,2074,1095,979,13711,5515,8196,
 GALATI,10710,4763,5947,1652,900,752,9058,3863,5195,
 GIURGIU,1961,1025,936,438,266,172,1523,759,764,
 GORJ,4086,1962,2124,1195,695,500,2891,1267,1624,
 HARGHITA,4721,2076,2645,1314,646,668,3407,1430,1977,
 HUNEDOARA,6585,3243,3342,4398,2183,2215,2187,1060,1127,
 IALOMITA,3913,1716,2197,1013,479,534,2900,1237,1663,
 IASI,8345,3649,4696,1314,690,624,7031,2959,4072,
 ILFOV,837,497,340,167,107,60,670,390,280,
 MARAMURES,3489,1754,1735,1728,883,845,1761,871,890,
 MEHEDINTI,5582,2379,3203,898,478,420,4684,1901,2783,
 MURES,5350,2434,2916,1367,684,683,3983,1750,2233,
 NEAMT,5762,2536,3226,999,528,471,4763,2008,2755,
 OLT,7390,3177,4213,1428,745,683,5962,2432,3530,
 PRAHOVA,5883,2891,2992,1774,987,787,4109,1904,2205,
 SALAJ,4358,1824,2534,765,407,358,3593,1417,2176,
 SATU MARE,4614,2004,2610,769,363,406,3845,1641,2204,
 SIBIU,3475,1532,1943,1033,487,546,2442,1045,1397,
 SUCEAVA,10421,4251,6170,2672,1168,1504,7749,3083,4666,
 TELEORMAN,8772,3510,5262,1722,774,948,7050,2736,4314,
 TIMIS,2450,1324,1126,1012,579,433,1438,745,693,
 TULCEA,2397,1105,1292,559,298,261,1838,807,1031,
 VALCEA,4917,2407,2510,1439,806,633,3478,1601,1877,
 VASLUI,8703,3543,5160,1188,597,591,7515,2946,4569,
 VRANCEA,5125,2178,2947,831,406,425,4294,1772,2522,
BUCURESTI,13805,7293,6512,13805,7293,6512,0,0,0,
Total TARA ,232875,106252,126623,67712,35645,32067,165163,70607,94556,
