JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5429,2468,2961,1674,842,832,3755,1626,2129,
 ARAD,1666,844,822,601,319,282,1065,525,540,
 ARGES,8254,3970,4284,1402,809,593,6852,3161,3691,
 BACAU,6850,2869,3981,2113,1008,1105,4737,1861,2876,
 BIHOR,3348,1705,1643,933,519,414,2415,1186,1229,
 BISTRITA-NASAUD,4093,1960,2133,1269,718,551,2824,1242,1582,
 BOTOSANI,2896,1271,1625,906,431,475,1990,840,1150,
 BRAILA,3613,1467,2146,848,436,412,2765,1031,1734,
 BRASOV,4902,2273,2629,1385,771,614,3517,1502,2015,
 BUZAU,8195,3378,4817,1569,807,762,6626,2571,4055,
 CALARASI,2866,1368,1498,754,381,373,2112,987,1125,
 CARAS-SEVERIN,2414,1113,1301,959,464,495,1455,649,806,
 CLUJ,4473,2277,2196,1783,1075,708,2690,1202,1488,
 CONSTANTA,6117,3770,2347,2772,1955,817,3345,1815,1530,
 COVASNA,3359,1595,1764,871,471,400,2488,1124,1364,
 DAMBOVITA,4601,2181,2420,729,398,331,3872,1783,2089,
 DOLJ,15649,6606,9043,2153,1146,1007,13496,5460,8036,
 GALATI,10710,4705,6005,1743,934,809,8967,3771,5196,
 GIURGIU,1906,990,916,438,250,188,1468,740,728,
 GORJ,4256,2019,2237,1282,733,549,2974,1286,1688,
 HARGHITA,4842,2156,2686,1367,679,688,3475,1477,1998,
 HUNEDOARA,6723,3300,3423,4465,2211,2254,2258,1089,1169,
 IALOMITA,4163,1820,2343,1096,519,577,3067,1301,1766,
 IASI,8155,3571,4584,1249,670,579,6906,2901,4005,
 ILFOV,789,475,314,172,117,55,617,358,259,
 MARAMURES,3564,1807,1757,1865,961,904,1699,846,853,
 MEHEDINTI,5592,2360,3232,933,479,454,4659,1881,2778,
 MURES,5238,2436,2802,1427,731,696,3811,1705,2106,
 NEAMT,5895,2626,3269,992,530,462,4903,2096,2807,
 OLT,7556,3289,4267,1670,847,823,5886,2442,3444,
 PRAHOVA,5970,2900,3070,1907,1040,867,4063,1860,2203,
 SALAJ,4450,1887,2563,824,434,390,3626,1453,2173,
 SATU MARE,4661,2025,2636,795,375,420,3866,1650,2216,
 SIBIU,3602,1595,2007,1125,542,583,2477,1053,1424,
 SUCEAVA,10263,4187,6076,2636,1167,1469,7627,3020,4607,
 TELEORMAN,8804,3572,5232,1770,829,941,7034,2743,4291,
 TIMIS,2734,1510,1224,1203,703,500,1531,807,724,
 TULCEA,2404,1120,1284,547,292,255,1857,828,1029,
 VALCEA,4963,2411,2552,1522,859,663,3441,1552,1889,
 VASLUI,8951,3603,5348,1263,632,631,7688,2971,4717,
 VRANCEA,5237,2242,2995,897,447,450,4340,1795,2545,
BUCURESTI,13919,7386,6533,13919,7386,6533,0,0,0,
Total TARA ,234072,107107,126965,69828,36917,32911,164244,70190,94054,
