JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5428,2676,2752,1583,885,698,3845,1791,2054,
 ARAD,2126,1159,967,725,424,301,1401,735,666,
 ARGES,8012,3779,4233,1132,654,478,6880,3125,3755,
 BACAU,5084,2171,2913,1780,829,951,3304,1342,1962,
 BIHOR,2796,1507,1289,789,467,322,2007,1040,967,
 BISTRITA-NASAUD,3445,1739,1706,961,579,382,2484,1160,1324,
 BOTOSANI,3264,1549,1715,1022,512,510,2242,1037,1205,
 BRAILA,3326,1476,1850,774,406,368,2552,1070,1482,
 BRASOV,6016,2975,3041,1646,908,738,4370,2067,2303,
 BUZAU,7508,3205,4303,1169,611,558,6339,2594,3745,
 CALARASI,3725,1780,1945,937,453,484,2788,1327,1461,
 CARAS-SEVERIN,2200,1049,1151,823,425,398,1377,624,753,
 CLUJ,4104,2031,2073,1554,942,612,2550,1089,1461,
 CONSTANTA,5406,3329,2077,2270,1555,715,3136,1774,1362,
 COVASNA,3026,1427,1599,759,388,371,2267,1039,1228,
 DAMBOVITA,5043,2730,2313,821,493,328,4222,2237,1985,
 DOLJ,16054,7056,8998,2174,1200,974,13880,5856,8024,
 GALATI,9763,4563,5200,1483,878,605,8280,3685,4595,
 GIURGIU,2073,1118,955,381,242,139,1692,876,816,
 GORJ,3982,2130,1852,1092,653,439,2890,1477,1413,
 HARGHITA,4878,2235,2643,1342,682,660,3536,1553,1983,
 HUNEDOARA,6242,3203,3039,4056,2083,1973,2186,1120,1066,
 IALOMITA,3975,2039,1936,1096,586,510,2879,1453,1426,
 IASI,7973,3521,4452,1135,607,528,6838,2914,3924,
 ILFOV,951,533,418,155,104,51,796,429,367,
 MARAMURES,3870,1998,1872,1854,1011,843,2016,987,1029,
 MEHEDINTI,5847,2580,3267,983,539,444,4864,2041,2823,
 MURES,5726,2650,3076,1557,798,759,4169,1852,2317,
 NEAMT,6677,2840,3837,1076,562,514,5601,2278,3323,
 OLT,7512,3486,4026,1301,751,550,6211,2735,3476,
 PRAHOVA,5799,2900,2899,1684,965,719,4115,1935,2180,
 SALAJ,4607,1991,2616,769,429,340,3838,1562,2276,
 SATU MARE,4679,2062,2617,850,411,439,3829,1651,2178,
 SIBIU,4401,2186,2215,1233,645,588,3168,1541,1627,
 SUCEAVA,10585,4569,6016,2773,1324,1449,7812,3245,4567,
 TELEORMAN,8455,3574,4881,1682,830,852,6773,2744,4029,
 TIMIS,1926,975,951,848,458,390,1078,517,561,
 TULCEA,2752,1371,1381,748,402,346,2004,969,1035,
 VALCEA,4317,2143,2174,1252,695,557,3065,1448,1617,
 VASLUI,8709,3583,5126,1011,523,488,7698,3060,4638,
 VRANCEA,4634,2001,2633,740,364,376,3894,1637,2257,
BUCURESTI,12220,6738,5482,12220,6738,5482,0,0,0,
Total TARA ,229116,108627,120489,64240,35011,29229,164876,73616,91260,
