JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5469,2718,2751,1746,973,773,3723,1745,1978,
 ARAD,2297,1248,1049,823,462,361,1474,786,688,
 ARGES,7985,3902,4083,1180,698,482,6805,3204,3601,
 BACAU,4752,2148,2604,1746,841,905,3006,1307,1699,
 BIHOR,3056,1723,1333,896,537,359,2160,1186,974,
 BISTRITA-NASAUD,3980,2047,1933,1249,708,541,2731,1339,1392,
 BOTOSANI,3405,1648,1757,1115,596,519,2290,1052,1238,
 BRAILA,3400,1526,1874,865,447,418,2535,1079,1456,
 BRASOV,6540,3367,3173,1891,1019,872,4649,2348,2301,
 BUZAU,7927,3473,4454,1428,759,669,6499,2714,3785,
 CALARASI,3691,1767,1924,999,518,481,2692,1249,1443,
 CARAS-SEVERIN,2153,1019,1134,876,448,428,1277,571,706,
 CLUJ,3916,2017,1899,1546,970,576,2370,1047,1323,
 CONSTANTA,5289,3057,2232,2204,1366,838,3085,1691,1394,
 COVASNA,4295,2180,2115,1282,673,609,3013,1507,1506,
 DAMBOVITA,4916,2623,2293,839,491,348,4077,2132,1945,
 DOLJ,16434,7382,9052,2588,1453,1135,13846,5929,7917,
 GALATI,9150,4065,5085,1443,824,619,7707,3241,4466,
 GIURGIU,2262,1207,1055,395,238,157,1867,969,898,
 GORJ,3783,1967,1816,1142,682,460,2641,1285,1356,
 HARGHITA,4651,2129,2522,1325,662,663,3326,1467,1859,
 HUNEDOARA,6316,3406,2910,4090,2239,1851,2226,1167,1059,
 IALOMITA,3708,1826,1882,1020,534,486,2688,1292,1396,
 IASI,8687,4012,4675,1639,931,708,7048,3081,3967,
 ILFOV,939,546,393,185,117,68,754,429,325,
 MARAMURES,3905,2106,1799,2062,1165,897,1843,941,902,
 MEHEDINTI,5651,2515,3136,983,546,437,4668,1969,2699,
 MURES,5790,2749,3041,1689,871,818,4101,1878,2223,
 NEAMT,6370,2776,3594,1061,592,469,5309,2184,3125,
 OLT,7055,3268,3787,1133,697,436,5922,2571,3351,
 PRAHOVA,6443,3387,3056,2039,1215,824,4404,2172,2232,
 SALAJ,4461,2015,2446,789,447,342,3672,1568,2104,
 SATU MARE,4457,2045,2412,849,423,426,3608,1622,1986,
 SIBIU,4896,2595,2301,1841,1070,771,3055,1525,1530,
 SUCEAVA,10051,4455,5596,2620,1285,1335,7431,3170,4261,
 TELEORMAN,8623,3657,4966,1679,839,840,6944,2818,4126,
 TIMIS,2757,1514,1243,1443,851,592,1314,663,651,
 TULCEA,2657,1370,1287,743,429,314,1914,941,973,
 VALCEA,4393,2162,2231,1350,741,609,3043,1421,1622,
 VASLUI,8065,3338,4727,923,470,453,7142,2868,4274,
 VRANCEA,4378,1966,2412,710,363,347,3668,1603,2065,
BUCURESTI,11592,6762,4830,11592,6762,4830,0,0,0,
Total TARA ,230545,111683,118862,68018,37952,30066,162527,73731,88796,
