JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5659,2806,2853,1841,1018,823,3818,1788,2030,
 ARAD,2225,1178,1047,686,373,313,1539,805,734,
 ARGES,8223,3946,4277,1183,672,511,7040,3274,3766,
 BACAU,4950,2133,2817,1694,764,930,3256,1369,1887,
 BIHOR,3238,1790,1448,873,523,350,2365,1267,1098,
 BISTRITA-NASAUD,3861,1940,1921,1244,683,561,2617,1257,1360,
 BOTOSANI,3439,1647,1792,1055,562,493,2384,1085,1299,
 BRAILA,3555,1510,2045,914,465,449,2641,1045,1596,
 BRASOV,6694,3343,3351,1891,1045,846,4803,2298,2505,
 BUZAU,7960,3312,4648,1340,661,679,6620,2651,3969,
 CALARASI,3897,1858,2039,952,485,467,2945,1373,1572,
 CARAS-SEVERIN,2438,1142,1296,987,494,493,1451,648,803,
 CLUJ,4182,2141,2041,1679,1046,633,2503,1095,1408,
 CONSTANTA,6263,4101,2162,2701,1967,734,3562,2134,1428,
 COVASNA,4089,1992,2097,1219,642,577,2870,1350,1520,
 DAMBOVITA,4691,2457,2234,745,425,320,3946,2032,1914,
 DOLJ,16870,7456,9414,2487,1365,1122,14383,6091,8292,
 GALATI,8755,3732,5023,1460,789,671,7295,2943,4352,
 GIURGIU,2211,1146,1065,447,224,223,1764,922,842,
 GORJ,3714,1854,1860,1073,622,451,2641,1232,1409,
 HARGHITA,5101,2227,2874,1390,678,712,3711,1549,2162,
 HUNEDOARA,7062,3820,3242,4498,2500,1998,2564,1320,1244,
 IALOMITA,3846,1828,2018,995,551,444,2851,1277,1574,
 IASI,8136,3581,4555,1191,612,579,6945,2969,3976,
 ILFOV,998,600,398,221,141,80,777,459,318,
 MARAMURES,4155,2105,2050,1893,980,913,2262,1125,1137,
 MEHEDINTI,5930,2648,3282,1069,591,478,4861,2057,2804,
 MURES,6260,2918,3342,1858,910,948,4402,2008,2394,
 NEAMT,7080,3086,3994,1173,636,537,5907,2450,3457,
 OLT,7303,3419,3884,1319,824,495,5984,2595,3389,
 PRAHOVA,6339,3280,3059,1945,1110,835,4394,2170,2224,
 SALAJ,4855,2173,2682,838,467,371,4017,1706,2311,
 SATU MARE,5006,2298,2708,938,472,466,4068,1826,2242,
 SIBIU,4561,2276,2285,1410,780,630,3151,1496,1655,
 SUCEAVA,11059,4697,6362,2777,1323,1454,8282,3374,4908,
 TELEORMAN,8293,3551,4742,1820,925,895,6473,2626,3847,
 TIMIS,2936,1539,1397,1397,782,615,1539,757,782,
 TULCEA,2468,1248,1220,596,349,247,1872,899,973,
 VALCEA,5026,2560,2466,1605,925,680,3421,1635,1786,
 VASLUI,8582,3542,5040,1142,587,555,7440,2955,4485,
 VRANCEA,2915,1358,1557,529,276,253,2386,1082,1304,
BUCURESTI,10811,6294,4517,10811,6294,4517,0,0,0,
Total TARA ,235636,112532,123104,67886,37538,30348,167750,74994,92756,
