JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5431,2731,2700,1732,983,749,3699,1748,1951,
 ARAD,2318,1259,1059,856,486,370,1462,773,689,
 ARGES,8035,3914,4121,1185,710,475,6850,3204,3646,
 BACAU,4696,2102,2594,1712,823,889,2984,1279,1705,
 BIHOR,2726,1503,1223,784,467,317,1942,1036,906,
 BISTRITA-NASAUD,3663,1854,1809,1175,665,510,2488,1189,1299,
 BOTOSANI,3442,1673,1769,1127,589,538,2315,1084,1231,
 BRAILA,3362,1514,1848,829,429,400,2533,1085,1448,
 BRASOV,6585,3426,3159,1962,1098,864,4623,2328,2295,
 BUZAU,7869,3447,4422,1403,744,659,6466,2703,3763,
 CALARASI,3720,1756,1964,989,490,499,2731,1266,1465,
 CARAS-SEVERIN,2055,959,1096,797,389,408,1258,570,688,
 CLUJ,3810,1930,1880,1460,902,558,2350,1028,1322,
 CONSTANTA,4737,2736,2001,1913,1183,730,2824,1553,1271,
 COVASNA,3972,1962,2010,1121,568,553,2851,1394,1457,
 DAMBOVITA,4738,2609,2129,862,535,327,3876,2074,1802,
 DOLJ,16361,7313,9048,2506,1393,1113,13855,5920,7935,
 GALATI,9284,4170,5114,1451,840,611,7833,3330,4503,
 GIURGIU,2283,1208,1075,416,239,177,1867,969,898,
 GORJ,3976,2118,1858,1208,723,485,2768,1395,1373,
 HARGHITA,4516,2056,2460,1277,644,633,3239,1412,1827,
 HUNEDOARA,5804,3104,2700,3716,2009,1707,2088,1095,993,
 IALOMITA,3713,1859,1854,994,529,465,2719,1330,1389,
 IASI,8768,4066,4702,1633,928,705,7135,3138,3997,
 ILFOV,922,540,382,178,121,57,744,419,325,
 MARAMURES,3786,2011,1775,1964,1100,864,1822,911,911,
 MEHEDINTI,5859,2602,3257,1057,565,492,4802,2037,2765,
 MURES,5858,2742,3116,1652,839,813,4206,1903,2303,
 NEAMT,6280,2731,3549,1039,572,467,5241,2159,3082,
 OLT,7175,3307,3868,1207,633,574,5968,2674,3294,
 PRAHOVA,6225,3216,3009,1939,1144,795,4286,2072,2214,
 SALAJ,4383,1957,2426,751,432,319,3632,1525,2107,
 SATU MARE,4344,1951,2393,787,389,398,3557,1562,1995,
 SIBIU,4962,2674,2288,1800,1071,729,3162,1603,1559,
 SUCEAVA,9911,4424,5487,2586,1267,1319,7325,3157,4168,
 TELEORMAN,8311,3541,4770,1595,805,790,6716,2736,3980,
 TIMIS,2555,1395,1160,1309,770,539,1246,625,621,
 TULCEA,2544,1273,1271,727,412,315,1817,861,956,
 VALCEA,4159,2023,2136,1253,682,571,2906,1341,1565,
 VASLUI,8085,3339,4746,927,474,453,7158,2865,4293,
 VRANCEA,4187,1822,2365,625,308,317,3562,1514,2048,
BUCURESTI,12207,6996,5211,12207,6996,5211,0,0,0,
Total TARA ,227617,109813,117804,66711,36946,29765,160906,72867,88039,
