JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5383,2681,2702,1640,933,707,3743,1748,1995,
 ARAD,2226,1208,1018,830,479,351,1396,729,667,
 ARGES,7961,3830,4131,1139,677,462,6822,3153,3669,
 BACAU,4982,2172,2810,1791,857,934,3191,1315,1876,
 BIHOR,2800,1556,1244,795,486,309,2005,1070,935,
 BISTRITA-NASAUD,3619,1830,1789,1175,675,500,2444,1155,1289,
 BOTOSANI,3191,1515,1676,1015,513,502,2176,1002,1174,
 BRAILA,3235,1446,1789,737,381,356,2498,1065,1433,
 BRASOV,6348,3259,3089,1821,1027,794,4527,2232,2295,
 BUZAU,7723,3384,4339,1307,709,598,6416,2675,3741,
 CALARASI,3683,1775,1908,901,389,512,2782,1386,1396,
 CARAS-SEVERIN,2099,978,1121,802,390,412,1297,588,709,
 CLUJ,3959,1982,1977,1507,925,582,2452,1057,1395,
 CONSTANTA,4747,2789,1958,1896,1217,679,2851,1572,1279,
 COVASNA,3355,1643,1712,833,430,403,2522,1213,1309,
 DAMBOVITA,4844,2670,2174,889,558,331,3955,2112,1843,
 DOLJ,16024,7111,8913,2237,1255,982,13787,5856,7931,
 GALATI,9524,4320,5204,1483,854,629,8041,3466,4575,
 GIURGIU,2079,1120,959,398,244,154,1681,876,805,
 GORJ,3912,2078,1834,1105,658,447,2807,1420,1387,
 HARGHITA,4712,2175,2537,1314,673,641,3398,1502,1896,
 HUNEDOARA,6037,3162,2875,3899,2069,1830,2138,1093,1045,
 IALOMITA,3799,1957,1842,985,538,447,2814,1419,1395,
 IASI,8644,4021,4623,1590,927,663,7054,3094,3960,
 ILFOV,891,521,370,168,115,53,723,406,317,
 MARAMURES,4177,2224,1953,2194,1245,949,1983,979,1004,
 MEHEDINTI,5722,2523,3199,964,528,436,4758,1995,2763,
 MURES,5805,2719,3086,1571,816,755,4234,1903,2331,
 NEAMT,6509,2809,3700,1074,584,490,5435,2225,3210,
 OLT,7004,3247,3757,1176,669,507,5828,2578,3250,
 PRAHOVA,6081,3158,2923,1833,1100,733,4248,2058,2190,
 SALAJ,4625,2065,2560,814,464,350,3811,1601,2210,
 SATU MARE,4446,1987,2459,790,387,403,3656,1600,2056,
 SIBIU,4955,2632,2323,1706,1011,695,3249,1621,1628,
 SUCEAVA,10293,4552,5741,2706,1322,1384,7587,3230,4357,
 TELEORMAN,8424,3577,4847,1713,863,850,6711,2714,3997,
 TIMIS,2375,1276,1099,1185,676,509,1190,600,590,
 TULCEA,2693,1349,1344,761,430,331,1932,919,1013,
 VALCEA,4218,2054,2164,1238,677,561,2980,1377,1603,
 VASLUI,8466,3490,4976,956,492,464,7510,2998,4512,
 VRANCEA,4361,1901,2460,655,324,331,3706,1577,2129,
BUCURESTI,12227,7058,5169,12227,7058,5169,0,0,0,
Total TARA ,228158,109804,118354,65820,36625,29195,162338,73179,89159,
