JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5703,2841,2862,1815,1003,812,3888,1838,2050,
 ARAD,2212,1196,1016,708,390,318,1504,806,698,
 ARGES,8173,3948,4225,1172,679,493,7001,3269,3732,
 BACAU,4675,2092,2583,1687,792,895,2988,1300,1688,
 BIHOR,3129,1731,1398,868,518,350,2261,1213,1048,
 BISTRITA-NASAUD,3669,1892,1777,1197,670,527,2472,1222,1250,
 BOTOSANI,3290,1618,1672,1000,526,474,2290,1092,1198,
 BRAILA,3473,1511,1962,925,478,447,2548,1033,1515,
 BRASOV,6646,3352,3294,1833,992,841,4813,2360,2453,
 BUZAU,7733,3253,4480,1303,656,647,6430,2597,3833,
 CALARASI,3855,1846,2009,938,505,433,2917,1341,1576,
 CARAS-SEVERIN,2362,1106,1256,974,489,485,1388,617,771,
 CLUJ,4043,2098,1945,1665,1053,612,2378,1045,1333,
 CONSTANTA,6043,3936,2107,2646,1896,750,3397,2040,1357,
 COVASNA,4180,2122,2058,1247,657,590,2933,1465,1468,
 DAMBOVITA,4848,2552,2296,811,478,333,4037,2074,1963,
 DOLJ,16884,7509,9375,2580,1419,1161,14304,6090,8214,
 GALATI,8967,3882,5085,1536,834,702,7431,3048,4383,
 GIURGIU,2165,1138,1027,429,236,193,1736,902,834,
 GORJ,3675,1821,1854,1084,635,449,2591,1186,1405,
 HARGHITA,4905,2238,2667,1385,693,692,3520,1545,1975,
 HUNEDOARA,7006,3796,3210,4519,2504,2015,2487,1292,1195,
 IALOMITA,3718,1828,1890,972,543,429,2746,1285,1461,
 IASI,8192,3651,4541,1238,638,600,6954,3013,3941,
 ILFOV,1009,597,412,212,137,75,797,460,337,
 MARAMURES,3859,2015,1844,1897,996,901,1962,1019,943,
 MEHEDINTI,5860,2617,3243,1024,554,470,4836,2063,2773,
 MURES,6089,2858,3231,1779,875,904,4310,1983,2327,
 NEAMT,6964,3088,3876,1143,640,503,5821,2448,3373,
 OLT,6972,3187,3785,1263,728,535,5709,2459,3250,
 PRAHOVA,6666,3444,3222,2073,1178,895,4593,2266,2327,
 SALAJ,4742,2152,2590,811,457,354,3931,1695,2236,
SATU-MARE,4666,2122,2544,859,421,438,3807,1701,2106,
 SIBIU,4890,2487,2403,1611,892,719,3279,1595,1684,
 SUCEAVA,10529,4639,5890,2727,1351,1376,7802,3288,4514,
 TELEORMAN,8518,3623,4895,1801,908,893,6717,2715,4002,
 TIMIS,2871,1531,1340,1372,783,589,1499,748,751,
 TULCEA,2567,1337,1230,645,371,274,1922,966,956,
 VALCEA,4873,2431,2442,1605,913,692,3268,1518,1750,
 VASLUI,8304,3446,4858,1091,570,521,7213,2876,4337,
 VRANCEA,4469,2034,2435,777,410,367,3692,1624,2068,
MUNICIPIUL BUCURESTI,11087,6597,4490,11087,6597,4490,0,0,0,
Total TARA ,234481,113162,121319,68309,38065,30244,166172,75097,91075,
