JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5601,2803,2798,1767,978,789,3834,1825,2009,
 ARAD,2285,1244,1041,796,444,352,1489,800,689,
 ARGES,8283,4061,4222,1226,722,504,7057,3339,3718,
 BACAU,4555,2049,2506,1708,814,894,2847,1235,1612,
 BIHOR,3108,1730,1378,875,521,354,2233,1209,1024,
 BISTRITA-NASAUD,3627,1891,1736,1174,679,495,2453,1212,1241,
 BOTOSANI,3314,1625,1689,1059,559,500,2255,1066,1189,
 BRAILA,3428,1505,1923,884,447,437,2544,1058,1486,
 BRASOV,6344,3212,3132,1804,974,830,4540,2238,2302,
 BUZAU,7619,3250,4369,1265,650,615,6354,2600,3754,
 CALARASI,3889,1864,2025,972,505,467,2917,1359,1558,
 CARAS-SEVERIN,2269,1048,1221,938,461,477,1331,587,744,
 CLUJ,4201,2211,1990,1720,1103,617,2481,1108,1373,
 CONSTANTA,5473,3400,2073,2311,1575,736,3162,1825,1337,
 COVASNA,4278,2160,2118,1262,652,610,3016,1508,1508,
 DAMBOVITA,5039,2679,2360,842,497,345,4197,2182,2015,
 DOLJ,16378,7239,9139,2453,1347,1106,13925,5892,8033,
 GALATI,8248,3692,4556,1478,828,650,6770,2864,3906,
 GIURGIU,2238,1198,1040,429,236,193,1809,962,847,
 GORJ,3699,1854,1845,1093,641,452,2606,1213,1393,
 HARGHITA,4746,2185,2561,1336,681,655,3410,1504,1906,
 HUNEDOARA,6829,3697,3132,4399,2433,1966,2430,1264,1166,
 IALOMITA,3725,1852,1873,999,547,452,2726,1305,1421,
 IASI,8486,3880,4606,1552,854,698,6934,3026,3908,
 ILFOV,973,576,397,205,137,68,768,439,329,
 MARAMURES,4179,2219,1960,2157,1190,967,2022,1029,993,
 MEHEDINTI,5709,2536,3173,991,540,451,4718,1996,2722,
 MURES,6242,2970,3272,1791,912,879,4451,2058,2393,
 NEAMT,6776,2993,3783,1119,641,478,5657,2352,3305,
 OLT,6940,3210,3730,1127,590,537,5813,2620,3193,
 PRAHOVA,6860,3604,3256,2189,1279,910,4671,2325,2346,
 SALAJ,4540,2083,2457,789,446,343,3751,1637,2114,
 SATU MARE,4634,2124,2510,847,416,431,3787,1708,2079,
 SIBIU,5169,2692,2477,1918,1103,815,3251,1589,1662,
 SUCEAVA,10181,4521,5660,2672,1330,1342,7509,3191,4318,
 TELEORMAN,8581,3678,4903,1833,913,920,6748,2765,3983,
 TIMIS,2921,1619,1302,1443,854,589,1478,765,713,
 TULCEA,2811,1483,1328,836,496,340,1975,987,988,
 VALCEA,4773,2390,2383,1553,874,679,3220,1516,1704,
 VASLUI,8131,3391,4740,1042,545,497,7089,2846,4243,
 VRANCEA,4416,2006,2410,747,393,354,3669,1613,2056,
BUCURESTI,11596,6712,4884,11596,6712,4884,0,0,0,
Total TARA ,233094,113136,119958,69197,38519,30678,163897,74617,89280,
