JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5397,2700,2697,1709,952,757,3688,1748,1940,
 ARAD,2305,1246,1059,802,444,358,1503,802,701,
 ARGES,8068,3971,4097,1159,700,459,6909,3271,3638,
 BACAU,4670,2078,2592,1731,812,919,2939,1266,1673,
 BIHOR,3038,1710,1328,867,516,351,2171,1194,977,
 BISTRITA-NASAUD,4028,2097,1931,1297,758,539,2731,1339,1392,
 BOTOSANI,3333,1637,1696,1070,573,497,2263,1064,1199,
 BRAILA,3468,1567,1901,873,458,415,2595,1109,1486,
 BRASOV,6390,3274,3116,1911,1017,894,4479,2257,2222,
 BUZAU,7595,3284,4311,1285,672,613,6310,2612,3698,
 CALARASI,3677,1772,1905,985,523,462,2692,1249,1443,
 CARAS-SEVERIN,2233,1044,1189,938,472,466,1295,572,723,
 CLUJ,3999,2092,1907,1594,1020,574,2405,1072,1333,
 CONSTANTA,5084,2984,2100,2056,1301,755,3028,1683,1345,
 COVASNA,4260,2127,2133,1276,651,625,2984,1476,1508,
 DAMBOVITA,4890,2588,2302,832,493,339,4058,2095,1963,
 DOLJ,16381,7310,9071,2539,1396,1143,13842,5914,7928,
 GALATI,8621,3837,4784,1427,805,622,7194,3032,4162,
 GIURGIU,2154,1147,1007,423,236,187,1731,911,820,
 GORJ,3740,1919,1821,1153,681,472,2587,1238,1349,
 HARGHITA,4574,2110,2464,1313,658,655,3261,1452,1809,
 HUNEDOARA,6681,3639,3042,4332,2424,1908,2349,1215,1134,
 IALOMITA,3698,1829,1869,1005,533,472,2693,1296,1397,
 IASI,8490,3923,4567,1606,892,714,6884,3031,3853,
 ILFOV,969,570,399,195,126,69,774,444,330,
 MARAMURES,4014,2171,1843,2120,1195,925,1894,976,918,
 MEHEDINTI,5664,2478,3186,985,515,470,4679,1963,2716,
 MURES,5743,2738,3005,1675,857,818,4068,1881,2187,
 NEAMT,6477,2865,3612,1047,592,455,5430,2273,3157,
 OLT,7038,3257,3781,1083,651,432,5955,2606,3349,
 PRAHOVA,6592,3472,3120,2077,1235,842,4515,2237,2278,
 SALAJ,4446,2043,2403,760,434,326,3686,1609,2077,
 SATU MARE,4490,2071,2419,855,424,431,3635,1647,1988,
 SIBIU,4852,2520,2332,1796,1028,768,3056,1492,1564,
 SUCEAVA,10111,4468,5643,2641,1296,1345,7470,3172,4298,
 TELEORMAN,8026,3463,4563,1713,862,851,6313,2601,3712,
 TIMIS,2755,1523,1232,1375,802,573,1380,721,659,
 TULCEA,2689,1412,1277,774,467,307,1915,945,970,
 VALCEA,4551,2256,2295,1421,792,629,3130,1464,1666,
 VASLUI,8083,3366,4717,1007,528,479,7076,2838,4238,
 VRANCEA,4415,2005,2410,734,385,349,3681,1620,2061,
BUCURESTI,11600,6717,4883,11600,6717,4883,0,0,0,
Total TARA ,229289,111280,118009,68041,37893,30148,161248,73387,87861,
