JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5533,2698,2835,1838,991,847,3695,1707,1988,
 ARAD,2623,1352,1271,851,466,385,1772,886,886,
 ARGES,8486,3973,4513,1187,688,499,7299,3285,4014,
 BACAU,5574,2311,3263,1800,832,968,3774,1479,2295,
 BIHOR,4064,2177,1887,1095,678,417,2969,1499,1470,
 BISTRITA-NASAUD,4891,2355,2536,1575,827,748,3316,1528,1788,
 BOTOSANI,4568,2069,2499,1323,724,599,3245,1345,1900,
 BRAILA,3998,1681,2317,963,519,444,3035,1162,1873,
 BRASOV,6531,3113,3418,1733,960,773,4798,2153,2645,
 BUZAU,7851,3287,4564,1324,682,642,6527,2605,3922,
 CALARASI,4068,1955,2113,956,506,450,3112,1449,1663,
 CARAS-SEVERIN,2840,1323,1517,1160,576,584,1680,747,933,
 CLUJ,4728,2428,2300,1881,1174,707,2847,1254,1593,
 CONSTANTA,5899,3873,2026,2595,1941,654,3304,1932,1372,
 COVASNA,3356,1534,1822,870,458,412,2486,1076,1410,
 DAMBOVITA,4752,2462,2290,741,440,301,4011,2022,1989,
 DOLJ,17147,7559,9588,2312,1239,1073,14835,6320,8515,
 GALATI,8896,3749,5147,1472,826,646,7424,2923,4501,
 GIURGIU,2252,1168,1084,441,261,180,1811,907,904,
 GORJ,3984,2007,1977,1127,674,453,2857,1333,1524,
 HARGHITA,5477,2448,3029,1495,773,722,3982,1675,2307,
 HUNEDOARA,7527,4117,3410,4791,2703,2088,2736,1414,1322,
 IALOMITA,4153,1917,2236,1046,567,479,3107,1350,1757,
 IASI,8728,3763,4965,1219,633,586,7509,3130,4379,
 ILFOV,1003,613,390,225,144,81,778,469,309,
 MARAMURES,4395,2210,2185,2063,1066,997,2332,1144,1188,
 MEHEDINTI,6450,2827,3623,1077,580,497,5373,2247,3126,
 MURES,7301,3312,3989,2078,1075,1003,5223,2237,2986,
 NEAMT,6838,3026,3812,1313,710,603,5525,2316,3209,
 OLT,7415,3353,4062,1402,835,567,6013,2518,3495,
 PRAHOVA,6616,3310,3306,1994,1107,887,4622,2203,2419,
 SALAJ,5144,2254,2890,883,499,384,4261,1755,2506,
 SATU-MARE,5643,2578,3065,1076,573,503,4567,2005,2562,
 SIBIU,4789,2341,2448,1356,744,612,3433,1597,1836,
 SUCEAVA,11898,4966,6932,2982,1394,1588,8916,3572,5344,
 TELEORMAN,8218,3474,4744,1805,914,891,6413,2560,3853,
 TIMIS,2790,1480,1310,1187,642,545,1603,838,765,
 TULCEA,2588,1279,1309,617,361,256,1971,918,1053,
 VALCEA,5123,2705,2418,1812,1072,740,3311,1633,1678,
 VASLUI,9004,3743,5261,1360,731,629,7644,3012,4632,
 VRANCEA,2845,1350,1495,530,291,239,2315,1059,1256,
BUCURESTI,10715,6206,4509,10715,6206,4509,0,0,0,
Total TARA ,246701,116346,130355,70270,39082,31188,176431,77264,99167,
