JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5735,2781,2954,1867,1007,860,3868,1774,2094,
 ARAD,2335,1197,1138,788,439,349,1547,758,789,
 ARGES,8375,3979,4396,1159,667,492,7216,3312,3904,
 BACAU,5233,2229,3004,1753,797,956,3480,1432,2048,
 BIHOR,3469,1884,1585,944,574,370,2525,1310,1215,
 BISTRITA-NASAUD,4384,2135,2249,1506,807,699,2878,1328,1550,
 BOTOSANI,3792,1799,1993,1197,654,543,2595,1145,1450,
 BRAILA,3756,1590,2166,1008,524,484,2748,1066,1682,
 BRASOV,6368,3129,3239,1784,992,792,4584,2137,2447,
 BUZAU,8112,3405,4707,1404,712,692,6708,2693,4015,
 CALARASI,4103,1979,2124,956,506,450,3147,1473,1674,
 CARAS-SEVERIN,2652,1235,1417,1081,537,544,1571,698,873,
 CLUJ,4509,2303,2206,1822,1127,695,2687,1176,1511,
 CONSTANTA,6056,3998,2058,2667,1986,681,3389,2012,1377,
 COVASNA,3369,1581,1788,897,468,429,2472,1113,1359,
 DAMBOVITA,4651,2450,2201,730,430,300,3921,2020,1901,
 DOLJ,16868,7344,9524,2362,1266,1096,14506,6078,8428,
 GALATI,8825,3747,5078,1487,810,677,7338,2937,4401,
 GIURGIU,2156,1113,1043,393,238,155,1763,875,888,
 GORJ,3960,1978,1982,1132,671,461,2828,1307,1521,
 HARGHITA,5246,2308,2938,1444,716,728,3802,1592,2210,
 HUNEDOARA,7275,3977,3298,4585,2582,2003,2690,1395,1295,
 IALOMITA,4066,1874,2192,1078,571,507,2988,1303,1685,
 IASI,8245,3574,4671,1199,612,587,7046,2962,4084,
 ILFOV,1001,594,407,222,136,86,779,458,321,
 MARAMURES,4494,2251,2243,2076,1065,1011,2418,1186,1232,
 MEHEDINTI,6188,2750,3438,1129,614,515,5059,2136,2923,
 MURES,6834,3120,3714,1976,1000,976,4858,2120,2738,
 NEAMT,6396,2810,3586,1271,669,602,5125,2141,2984,
 OLT,7370,3424,3946,1526,916,610,5844,2508,3336,
 PRAHOVA,6331,3222,3109,1917,1073,844,4414,2149,2265,
 SALAJ,5123,2265,2858,909,506,403,4214,1759,2455,
 SATU MARE,5360,2409,2951,990,485,505,4370,1924,2446,
 SIBIU,4283,2118,2165,1288,700,588,2995,1418,1577,
 SUCEAVA,11571,4851,6720,2969,1387,1582,8602,3464,5138,
 TELEORMAN,8058,3438,4620,1867,944,923,6191,2494,3697,
 TIMIS,2615,1387,1228,1180,645,535,1435,742,693,
 TULCEA,2597,1312,1285,619,362,257,1978,950,1028,
 VALCEA,5421,2793,2628,1803,1050,753,3618,1743,1875,
 VASLUI,8864,3641,5223,1305,672,633,7559,2969,4590,
 VRANCEA,2967,1397,1570,547,290,257,2420,1107,1313,
BUCURESTI,10802,6279,4523,10802,6279,4523,0,0,0,
Total TARA ,239815,113650,126165,69639,38486,31153,170176,75164,95012,
