JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5320,2567,2753,1772,951,821,3548,1616,1932,
 ARAD,2814,1454,1360,922,511,411,1892,943,949,
 ARGES,8385,3910,4475,1142,663,479,7243,3247,3996,
 BACAU,5614,2390,3224,1705,798,907,3909,1592,2317,
 BIHOR,4475,2397,2078,1176,730,446,3299,1667,1632,
 BISTRITA-NASAUD,4607,2199,2408,1448,762,686,3159,1437,1722,
 BOTOSANI,4788,2150,2638,1268,705,563,3520,1445,2075,
 BRAILA,4178,1756,2422,1004,552,452,3174,1204,1970,
 BRASOV,6467,3023,3444,1689,920,769,4778,2103,2675,
 BUZAU,7668,3229,4439,1333,675,658,6335,2554,3781,
 CALARASI,4080,1963,2117,970,506,464,3110,1457,1653,
 CARAS-SEVERIN,2922,1363,1559,1199,589,610,1723,774,949,
 CLUJ,4904,2476,2428,1919,1179,740,2985,1297,1688,
 CONSTANTA,5602,3609,1993,2411,1785,626,3191,1824,1367,
 COVASNA,3234,1506,1728,836,453,383,2398,1053,1345,
 DAMBOVITA,4985,2548,2437,874,505,369,4111,2043,2068,
 DOLJ,18664,8376,10288,2393,1285,1108,16271,7091,9180,
 GALATI,8664,3641,5023,1339,755,584,7325,2886,4439,
 GIURGIU,2200,1143,1057,435,260,175,1765,883,882,
 GORJ,4080,2061,2019,1164,691,473,2916,1370,1546,
 HARGHITA,5653,2647,3006,1586,862,724,4067,1785,2282,
 HUNEDOARA,7579,4145,3434,4824,2714,2110,2755,1431,1324,
 IALOMITA,4197,1945,2252,977,540,437,3220,1405,1815,
 IASI,9400,4133,5267,1198,648,550,8202,3485,4717,
 ILFOV,1024,618,406,225,145,80,799,473,326,
 MARAMURES,4445,2213,2232,2021,1039,982,2424,1174,1250,
 MEHEDINTI,6632,2915,3717,1081,586,495,5551,2329,3222,
 MURES,7665,3465,4200,2027,1078,949,5638,2387,3251,
 NEAMT,8126,3533,4593,1381,741,640,6745,2792,3953,
 OLT,7543,3413,4130,1502,863,639,6041,2550,3491,
 PRAHOVA,6678,3333,3345,1972,1115,857,4706,2218,2488,
 SALAJ,5181,2256,2925,860,488,372,4321,1768,2553,
 SATU MARE,5691,2621,3070,1074,582,492,4617,2039,2578,
 SIBIU,5081,2472,2609,1403,768,635,3678,1704,1974,
 SUCEAVA,12107,5130,6977,3023,1440,1583,9084,3690,5394,
 TELEORMAN,9452,3904,5548,1809,900,909,7643,3004,4639,
 TIMIS,2904,1531,1373,1218,651,567,1686,880,806,
 TULCEA,2580,1266,1314,569,342,227,2011,924,1087,
 VALCEA,4287,2264,2023,1531,894,637,2756,1370,1386,
 VASLUI,9292,3859,5433,1252,678,574,8040,3181,4859,
 VRANCEA,2809,1339,1470,521,289,232,2288,1050,1238,
BUCURESTI,10611,6176,4435,10611,6176,4435,0,0,0,
Total TARA ,252588,118939,133649,69664,38814,30850,182924,80125,102799,
